symbol,sweep_time,dir,fill_time,fill_price,stop,target,exit_time,exit_price,outcome,R,is_asian_sweep,has_smt
BTC/USDT,2026-07-12 04:35:00,LONG,2026-07-12 18:43:00,64105.01,63888.726,64429.436,2026-07-12 21:54:00,63888.726,STOP,-1.237,,
BTC/USDT,2026-07-17 00:35:00,LONG,2026-07-17 01:43:00,63789.99,63560.908,64133.613,2026-07-17 15:08:00,63560.908,STOP,-1.223,,
BTC/USDT,2026-07-30 20:00:00,SHORT,2026-07-30 21:03:00,64804.99,64986.764,64532.329,2026-07-30 22:28:00,64986.764,STOP,-1.285,,
BTC/USDT,2026-08-13 05:15:00,SHORT,2026-08-13 05:51:00,63890.73,64058.5426,63639.0111,2026-08-13 09:46:00,63719.2501,PARTIAL+TRAIL,0.956,True,False
BTC/USDT,2026-08-18 02:45:00,LONG,2026-08-18 04:01:00,64134.18,64001.4427,64333.286,2026-08-18 06:48:00,64345.0301,PARTIAL+TRAIL,1.158,True,False
BTC/USDT,2026-08-20 13:30:00,LONG,2026-08-20 14:14:00,71817.04,71412.5464,72423.7804,2026-08-20 14:29:00,71412.5464,STOP,-1.142,,
BTC/USDT,2026-08-22 05:10:00,LONG,2026-08-22 05:54:00,77265.01,76446.578,78492.658,2026-08-23 05:08:00,76446.578,STOP,-1.076,,
BTC/USDT,2026-08-21 18:40:00,LONG,2026-08-21 19:34:00,77200.01,76806.33,77790.53,2026-08-21 21:36:00,78204.036,PARTIAL+TRAIL,1.868,True,False
BTC/USDT,2026-08-22 05:10:00,LONG,2026-08-22 05:54:00,77265.01,76446.578,78492.658,2026-08-23 05:08:00,76446.578,STOP,-1.076,,
BTC/USDT,2026-08-26 14:50:00,LONG,2026-08-26 15:35:00,77935.3,77707.2818,78277.3274,2026-08-26 17:46:00,78424.1454,PARTIAL+TRAIL,1.549,True,True
BTC/USDT,2026-08-25 13:50:00,LONG,2026-08-25 14:02:00,78532.14,78055.1743,79247.5886,2026-08-25 16:14:00,79185.0974,PARTIAL+TRAIL,1.303,True,False
BTC/USDT,2026-08-25 13:45:00,LONG,2026-08-25 14:02:00,78532.14,78315.1843,78857.5736,2026-08-25 14:18:00,78928.6054,PARTIAL+TRAIL,1.374,True,True
BTC/USDT,2026-08-26 12:30:00,LONG,2026-08-26 13:51:00,78270.0,77879.114,78856.329,2026-08-26 14:48:00,77879.114,STOP,-1.16,,
BTC/USDT,2026-08-27 17:15:00,SHORT,2026-08-27 17:47:00,80520.0,80914.416,79928.376,2026-08-27 18:57:00,80065.5328,PARTIAL+TRAIL,1.163,True,False
BTC/USDT,2026-08-29 06:20:00,LONG,2026-08-29 07:24:00,77501.96,77327.9984,77762.9024,2026-08-29 14:49:00,78013.4807,PARTIAL+TRAIL,1.864,True,True
BTC/USDT,2026-08-31 23:00:00,LONG,2026-08-31 23:22:00,78536.85,78340.5905,78831.2392,2026-09-01 00:34:00,78744.8424,PARTIAL+TRAIL,0.96,True,False
BTC/USDT,2026-09-01 23:35:00,SHORT,2026-09-02 00:00:00,77475.69,77641.9806,77226.2542,2026-09-02 00:56:00,77268.0324,PARTIAL+TRAIL,1.002,True,False
BTC/USDT,2026-09-02 13:40:00,SHORT,2026-09-02 14:40:00,77215.69,77461.7726,76846.5662,2026-09-02 15:18:00,76941.866,PARTIAL+TRAIL,1.055,True,False
BTC/USDT,2026-09-04 06:35:00,LONG,2026-09-04 07:37:00,80795.0,80525.374,81199.439,2026-09-04 08:05:00,80525.374,STOP,-1.24,,
BTC/USDT,2026-09-08 02:20:00,SHORT,2026-09-08 02:31:00,79270.0,79558.736,78836.896,2026-09-08 03:33:00,78963.2188,PARTIAL+TRAIL,1.062,True,False
BTC/USDT,2026-09-09 15:20:00,LONG,2026-09-09 15:36:00,78555.02,77997.276,79391.636,2026-09-09 20:29:00,77997.276,STOP,-1.113,,
BTC/USDT,2026-09-10 03:00:00,SHORT,2026-09-10 03:18:00,78379.19,78605.5734,78039.615,2026-09-10 07:51:00,78092.4967,PARTIAL+TRAIL,1.106,True,False
