symbol,sweep_time,dir,fill_time,fill_price,stop,target,exit_time,exit_price,outcome,R,is_asian_sweep,has_smt
ADA/USDT,2026-06-15 00:35:00,SHORT,2026-06-15 01:08:00,0.1822,0.1833,0.1805,2026-06-15 02:06:00,0.181,PARTIAL+TRAIL,1.139,True,False
ADA/USDT,2026-06-15 00:35:00,SHORT,2026-06-15 01:08:00,0.1822,0.1833,0.1805,2026-06-15 02:06:00,0.181,PARTIAL+TRAIL,1.139,True,False
ADA/USDT,2026-06-19 23:35:00,SHORT,2026-06-19 23:47:00,0.1617,0.1623,0.1608,2026-06-19 23:56:00,0.1623,STOP,-1.206,True,False
ADA/USDT,2026-06-26 03:00:00,LONG,2026-06-26 03:18:00,0.1401,0.1385,0.1425,2026-06-26 04:53:00,0.1419,PARTIAL+TRAIL,1.242,True,False
ADA/USDT,2026-07-01 01:10:00,LONG,2026-07-01 01:41:00,0.1447,0.1419,0.1489,2026-07-01 19:29:00,0.1536,PARTIAL+TRAIL,2.298,True,False
ADA/USDT,2026-07-07 22:00:00,LONG,2026-07-07 22:45:00,0.1746,0.1738,0.1759,2026-07-08 14:41:00,0.1754,PARTIAL+TRAIL,1.077,True,False
ADA/USDT,2026-07-07 22:00:00,LONG,2026-07-07 22:45:00,0.1746,0.1738,0.1759,2026-07-08 14:41:00,0.1754,PARTIAL+TRAIL,1.077,True,False
ADA/USDT,2026-07-07 22:00:00,LONG,2026-07-07 22:45:00,0.1746,0.1738,0.1759,2026-07-08 14:41:00,0.1754,PARTIAL+TRAIL,1.077,True,False
ADA/USDT,2026-07-07 22:00:00,LONG,2026-07-07 22:45:00,0.1746,0.1738,0.1759,2026-07-08 14:41:00,0.1754,PARTIAL+TRAIL,1.077,True,False
ADA/USDT,2026-07-07 05:20:00,LONG,2026-07-07 05:38:00,0.1799,0.179,0.1813,2026-07-07 07:29:00,0.1806,PARTIAL+TRAIL,0.992,True,False
ADA/USDT,2026-07-08 14:40:00,LONG,2026-07-08 14:58:00,0.1669,0.1664,0.1677,2026-07-08 15:07:00,0.1664,STOP,-1.25,True,False
ADA/USDT,2026-07-14 05:05:00,SHORT,2026-07-14 05:36:00,0.1593,0.1605,0.1575,2026-07-14 20:32:00,0.1605,STOP,-1.104,True,False
ADA/USDT,2026-07-17 16:40:00,SHORT,2026-07-17 17:41:00,0.1654,0.1664,0.1639,2026-07-18 07:47:00,0.1664,STOP,-1.128,True,False
