symbol,sweep_time,dir,fill_time,fill_price,stop,target,exit_time,exit_price,outcome,R,is_asian_sweep,has_smt
BNB/USDT,2026-07-01 01:10:00,LONG,2026-07-01 01:50:00,548.0,539.5616,560.6576,2026-07-06 12:44:00,586.6493,PARTIAL+TRAIL,2.988,True,False
BNB/USDT,2026-06-26 19:35:00,SHORT,2026-06-26 20:39:00,565.8,567.8526,562.721,2026-06-26 21:44:00,567.8526,STOP,-1.221,,
BNB/USDT,2026-07-05 20:05:00,SHORT,2026-07-05 20:21:00,589.2,590.8714,586.693,2026-07-05 21:13:00,587.3371,PARTIAL+TRAIL,1.025,True,False
BNB/USDT,2026-07-05 20:05:00,SHORT,2026-07-05 20:21:00,589.2,590.8714,586.693,2026-07-05 21:13:00,587.3371,PARTIAL+TRAIL,1.025,True,False
BNB/USDT,2026-07-05 22:30:00,SHORT,2026-07-05 22:54:00,590.7,593.8726,585.9412,2026-07-06 13:44:00,572.838,PARTIAL+TRAIL,3.416,True,False
BNB/USDT,2026-07-14 22:30:00,SHORT,2026-07-14 22:51:00,581.8,583.1654,579.7518,2026-07-15 13:11:00,583.1654,STOP,-1.341,,
BNB/USDT,2026-08-08 22:10:00,LONG,2026-08-08 22:42:00,600.4,598.7197,602.9205,2026-08-09 13:18:00,607.8557,PARTIAL+TRAIL,2.683,True,False
BNB/USDT,2026-08-13 05:05:00,SHORT,2026-08-13 06:09:00,613.6,615.1909,611.2137,2026-08-13 06:53:00,612.0727,PARTIAL+TRAIL,0.921,True,False
BNB/USDT,2026-08-16 09:25:00,SHORT,2026-08-16 12:00:00,607.2,608.5858,605.1214,2026-08-16 21:49:00,604.4086,PARTIAL+TRAIL,1.407,True,True
BNB/USDT,2026-08-17 16:35:00,SHORT,2026-08-17 18:16:00,606.5,608.2852,603.8222,2026-08-18 03:38:00,603.4282,PARTIAL+TRAIL,1.339,True,False
BNB/USDT,2026-08-20 12:35:00,LONG,2026-08-20 13:01:00,642.6,639.3859,647.4211,2026-08-20 13:36:00,639.3859,STOP,-1.16,,
BNB/USDT,2026-08-21 11:30:00,LONG,2026-08-21 12:54:00,678.2,670.7574,689.3638,2026-08-22 00:03:00,686.046,PARTIAL+TRAIL,1.204,True,False
BNB/USDT,2026-08-21 20:00:00,LONG,2026-08-21 20:29:00,674.3,671.3606,678.7092,2026-08-21 21:34:00,680.4484,PARTIAL+TRAIL,1.612,True,False
BNB/USDT,2026-08-23 05:15:00,LONG,2026-08-23 05:26:00,683.6,676.5531,694.1703,2026-08-23 14:42:00,694.2625,PARTIAL+TRAIL,1.429,True,False
BNB/USDT,2026-08-24 02:00:00,LONG,2026-08-24 02:11:00,696.4,693.0429,701.4357,2026-08-24 02:48:00,699.2143,PARTIAL+TRAIL,1.003,True,False
BNB/USDT,2026-08-24 08:25:00,LONG,2026-08-24 08:38:00,694.4,692.5445,697.1833,2026-08-24 10:03:00,699.7156,PARTIAL+TRAIL,1.883,True,False
BNB/USDT,2026-08-28 01:15:00,SHORT,2026-08-28 01:43:00,716.0,719.0728,711.3908,2026-08-28 03:19:00,708.8582,PARTIAL+TRAIL,1.726,True,False
BNB/USDT,2026-08-25 15:55:00,SHORT,2026-08-25 16:18:00,698.8,700.859,695.7114,2026-08-25 18:03:00,700.859,STOP,-1.272,,
BNB/USDT,2026-08-27 14:35:00,SHORT,2026-08-27 14:51:00,710.1,711.5681,707.8979,2026-08-27 15:12:00,711.5681,STOP,-1.387,,
BNB/USDT,2026-08-27 17:15:00,SHORT,2026-08-27 17:47:00,711.2,714.669,705.9966,2026-08-28 00:39:00,714.669,STOP,-1.164,,
BNB/USDT,2026-08-31 14:40:00,SHORT,2026-08-31 15:32:00,690.1,691.8521,687.4719,2026-08-31 17:45:00,691.8521,STOP,-1.315,,
BNB/USDT,2026-08-31 07:25:00,SHORT,2026-08-31 08:42:00,686.9,688.7495,684.1257,2026-08-31 09:08:00,688.7495,STOP,-1.297,,
BNB/USDT,2026-08-31 18:15:00,SHORT,2026-08-31 18:28:00,692.7,694.4542,690.0688,2026-08-31 19:10:00,694.4542,STOP,-1.316,,
BNB/USDT,2026-09-01 11:40:00,SHORT,2026-09-01 12:22:00,686.6,689.3493,682.4761,2026-09-01 18:49:00,676.7994,PARTIAL+TRAIL,2.333,True,False
BNB/USDT,2026-09-02 03:25:00,SHORT,2026-09-02 03:58:00,687.5,690.05,683.675,2026-09-02 09:03:00,684.94,PARTIAL+TRAIL,1.036,True,False
BNB/USDT,2026-09-03 22:30:00,LONG,2026-09-03 22:49:00,722.9,720.1217,727.0675,2026-09-04 00:44:00,727.6773,PARTIAL+TRAIL,1.402,True,False
BNB/USDT,2026-09-04 12:30:00,LONG,2026-09-04 13:26:00,715.7,711.9274,721.3588,2026-09-04 14:43:00,711.9274,STOP,-1.152,,
BNB/USDT,2026-09-06 14:30:00,LONG,2026-09-06 15:14:00,742.6,740.9059,745.1411,2026-09-06 16:42:00,747.3447,PARTIAL+TRAIL,1.8,True,False
BNB/USDT,2026-09-05 23:05:00,LONG,2026-09-05 23:31:00,765.7,763.2874,769.3188,2026-09-06 02:03:00,763.2874,STOP,-1.254,,
BNB/USDT,2026-09-07 14:40:00,LONG,2026-09-07 14:59:00,743.6,740.5051,748.2423,2026-09-07 15:16:00,740.5051,STOP,-1.192,,
BNB/USDT,2026-09-10 20:45:00,SHORT,2026-09-10 21:39:00,714.5,716.9716,710.7926,2026-09-10 23:29:00,710.8773,PARTIAL+TRAIL,1.252,True,False
