symbol,sweep_time,dir,fill_time,fill_price,stop,target,exit_time,exit_price,outcome,R,is_asian_sweep,has_smt
DOGE/USDT,2026-06-15 02:15:00,SHORT,2026-06-15 02:36:00,0.0889,0.0893,0.0883,2026-06-15 17:14:00,0.0893,STOP,-1.177,True,False
DOGE/USDT,2026-06-15 17:10:00,SHORT,2026-06-15 18:14:00,0.0895,0.0898,0.089,2026-06-15 19:19:00,0.089,PARTIAL+TRAIL,1.311,True,False
DOGE/USDT,2026-06-19 23:55:00,SHORT,2026-06-20 13:56:00,0.0833,0.0838,0.0827,2026-06-20 14:32:00,0.083,PARTIAL+TRAIL,0.999,True,False
DOGE/USDT,2026-06-22 01:25:00,SHORT,2026-06-22 15:53:00,0.0837,0.0843,0.0828,2026-06-23 08:24:00,0.0789,PARTIAL+TRAIL,4.581,True,False
DOGE/USDT,2026-07-03 03:10:00,LONG,2026-07-03 04:33:00,0.0745,0.0742,0.075,2026-07-03 18:27:00,0.0767,PARTIAL+TRAIL,4.012,True,False
DOGE/USDT,2026-07-07 22:00:00,LONG,2026-07-07 22:24:00,0.0741,0.0738,0.0745,2026-07-07 23:23:00,0.0745,PARTIAL+TRAIL,1.337,True,False
DOGE/USDT,2026-07-07 05:20:00,LONG,2026-07-07 05:36:00,0.0747,0.0743,0.0754,2026-07-07 07:30:00,0.0753,PARTIAL+TRAIL,1.283,True,False
DOGE/USDT,2026-07-12 21:20:00,LONG,2026-07-12 21:46:00,0.0732,0.073,0.0734,2026-07-13 11:14:00,0.073,STOP,-1.295,True,False
DOGE/USDT,2026-07-17 15:05:00,LONG,2026-07-17 15:32:00,0.0718,0.0716,0.072,2026-07-17 15:42:00,0.072,PARTIAL+TRAIL,0.993,True,False
DOGE/USDT,2026-07-17 15:05:00,LONG,2026-07-17 15:32:00,0.0718,0.0716,0.072,2026-07-17 15:42:00,0.072,PARTIAL+TRAIL,0.993,True,False
DOGE/USDT,2026-07-26 15:35:00,SHORT,2026-07-26 16:59:00,0.0731,0.0733,0.0729,2026-07-26 18:15:00,0.0728,PARTIAL+TRAIL,1.432,True,False
DOGE/USDT,2026-08-01 04:45:00,SHORT,2026-08-01 04:58:00,0.0702,0.0703,0.07,2026-08-01 07:32:00,0.0699,PARTIAL+TRAIL,1.266,True,False
DOGE/USDT,2026-08-01 21:25:00,LONG,2026-08-01 21:39:00,0.0691,0.0688,0.0695,2026-08-02 15:56:00,0.0703,PARTIAL+TRAIL,2.765,True,False
DOGE/USDT,2026-08-11 14:30:00,SHORT,2026-08-11 15:22:00,0.0705,0.0709,0.0699,2026-08-11 17:30:00,0.0709,STOP,-1.135,True,False
DOGE/USDT,2026-08-13 19:30:00,SHORT,2026-08-14 09:11:00,0.07,0.0704,0.0694,2026-08-14 14:36:00,0.0695,PARTIAL+TRAIL,1.156,True,False
DOGE/USDT,2026-08-16 21:40:00,LONG,2026-08-16 22:13:00,0.0696,0.069,0.0704,2026-08-17 08:53:00,0.0701,PARTIAL+TRAIL,1.114,True,False
DOGE/USDT,2026-08-16 21:40:00,LONG,2026-08-16 22:13:00,0.0696,0.069,0.0704,2026-08-17 08:53:00,0.0701,PARTIAL+TRAIL,1.114,True,False
DOGE/USDT,2026-08-20 06:05:00,LONG,2026-08-20 06:27:00,0.0749,0.0741,0.076,2026-08-20 09:30:00,0.0767,PARTIAL+TRAIL,1.938,True,False
DOGE/USDT,2026-08-23 05:15:00,LONG,2026-08-23 05:26:00,0.0903,0.0887,0.0927,2026-08-23 14:42:00,0.0932,PARTIAL+TRAIL,1.62,True,False
DOGE/USDT,2026-08-28 01:30:00,SHORT,2026-08-28 01:42:00,0.0897,0.0904,0.0887,2026-08-28 02:35:00,0.0882,PARTIAL+TRAIL,1.771,True,False
DOGE/USDT,2026-08-28 14:00:00,SHORT,2026-08-28 15:20:00,0.0873,0.0877,0.0868,2026-08-28 15:59:00,0.0861,PARTIAL+TRAIL,2.337,True,False
DOGE/USDT,2026-08-28 21:30:00,SHORT,2026-08-28 22:15:00,0.0849,0.0851,0.0844,2026-08-28 22:43:00,0.0851,STOP,-1.236,True,False
DOGE/USDT,2026-08-29 10:05:00,LONG,2026-08-29 10:56:00,0.0845,0.0841,0.085,2026-08-29 12:25:00,0.0847,PARTIAL+TRAIL,0.906,True,False
DOGE/USDT,2026-08-29 17:35:00,LONG,2026-08-29 18:05:00,0.0851,0.0847,0.0856,2026-08-30 04:47:00,0.0847,STOP,-1.196,True,False
DOGE/USDT,2026-08-30 13:45:00,SHORT,2026-08-30 14:10:00,0.0855,0.0858,0.0851,2026-08-30 15:17:00,0.0853,PARTIAL+TRAIL,0.98,True,False
DOGE/USDT,2026-08-31 17:40:00,SHORT,2026-08-31 18:07:00,0.0833,0.0836,0.0828,2026-08-31 18:41:00,0.0836,STOP,-1.225,True,False
DOGE/USDT,2026-09-02 05:50:00,SHORT,2026-09-02 06:58:00,0.0818,0.0821,0.0813,2026-09-02 09:00:00,0.0811,PARTIAL+TRAIL,1.594,True,False
DOGE/USDT,2026-09-03 20:35:00,LONG,2026-09-03 21:19:00,0.0888,0.0884,0.0895,2026-09-03 21:46:00,0.0884,STOP,-1.158,True,False
DOGE/USDT,2026-09-05 21:45:00,LONG,2026-09-05 22:09:00,0.0907,0.0898,0.0921,2026-09-05 23:15:00,0.0898,STOP,-1.08,True,False
DOGE/USDT,2026-09-11 12:30:00,LONG,2026-09-11 12:42:00,0.0845,0.0822,0.0879,2026-09-11 14:12:00,0.0865,PARTIAL+TRAIL,1.157,True,False
DOGE/USDT,2026-09-11 12:30:00,LONG,2026-09-11 12:42:00,0.0845,0.0822,0.0879,2026-09-11 14:12:00,0.0865,PARTIAL+TRAIL,1.157,True,False
DOGE/USDT,2026-09-11 15:50:00,LONG,2026-09-11 16:12:00,0.0853,0.0846,0.0864,2026-09-11 18:03:00,0.0846,STOP,-1.091,True,False
