symbol,sweep_time,dir,fill_time,fill_price,stop,target,exit_time,exit_price,outcome,R,is_asian_sweep,has_smt
ETH/USDT,2026-06-15 19:15:00,LONG,2026-06-15 19:37:00,1823.49,1811.4112,1841.6082,2026-06-16 09:53:00,1811.4112,STOP,-1.121,,
ETH/USDT,2026-06-22 01:25:00,SHORT,2026-06-22 02:14:00,1742.0,1761.1936,1713.2096,2026-06-23 08:24:00,1649.7849,PARTIAL+TRAIL,3.08,True,False
ETH/USDT,2026-06-22 01:25:00,SHORT,2026-06-22 02:14:00,1742.0,1761.1936,1713.2096,2026-06-23 08:24:00,1649.7849,PARTIAL+TRAIL,3.08,True,False
ETH/USDT,2026-06-26 19:35:00,SHORT,2026-06-26 20:39:00,1572.9,1580.4783,1561.5325,2026-06-27 12:17:00,1580.4783,STOP,-1.166,,
ETH/USDT,2026-06-28 21:50:00,LONG,2026-06-28 22:19:00,1563.51,1557.8492,1572.0012,2026-06-28 22:25:00,1567.4726,PARTIAL+TRAIL,0.879,True,False
ETH/USDT,2026-07-08 00:40:00,SHORT,2026-07-08 01:12:00,1778.39,1786.6427,1766.0109,2026-07-08 14:45:00,1729.2322,PARTIAL+TRAIL,3.556,True,False
ETH/USDT,2026-08-10 06:15:00,SHORT,2026-08-10 07:17:00,1927.0,1930.9916,1921.0126,2026-08-10 22:11:00,1876.0033,PARTIAL+TRAIL,6.752,True,True
ETH/USDT,2026-08-16 21:40:00,LONG,2026-08-16 22:25:00,1876.06,1868.0992,1888.0013,2026-08-17 01:06:00,1890.5213,PARTIAL+TRAIL,1.47,True,False
ETH/USDT,2026-08-20 03:10:00,LONG,2026-08-20 03:22:00,2238.08,2221.0495,2263.6257,2026-08-20 07:17:00,2253.4156,PARTIAL+TRAIL,1.095,True,False
ETH/USDT,2026-08-20 13:35:00,LONG,2026-08-20 14:15:00,2279.4,2254.1965,2317.2053,2026-08-20 15:36:00,2302.1472,PARTIAL+TRAIL,1.129,True,False
ETH/USDT,2026-08-20 13:35:00,LONG,2026-08-20 14:15:00,2279.4,2254.1965,2317.2053,2026-08-20 15:36:00,2302.1472,PARTIAL+TRAIL,1.129,True,False
ETH/USDT,2026-08-21 11:30:00,LONG,2026-08-21 12:54:00,2387.97,2354.8196,2437.6956,2026-08-21 22:30:00,2520.5997,PARTIAL+TRAIL,2.693,True,False
ETH/USDT,2026-08-23 05:15:00,LONG,2026-08-23 05:29:00,2380.2,2354.2658,2419.1012,2026-08-23 09:35:00,2405.8327,PARTIAL+TRAIL,1.171,True,False
ETH/USDT,2026-08-23 14:40:00,LONG,2026-08-23 15:33:00,2435.3,2386.3418,2508.7374,2026-08-24 13:45:00,2480.7634,PARTIAL+TRAIL,1.175,True,False
ETH/USDT,2026-08-23 23:00:00,LONG,2026-08-23 23:38:00,2458.3,2444.1834,2479.475,2026-08-24 00:27:00,2444.1834,STOP,-1.139,,
ETH/USDT,2026-08-24 17:00:00,LONG,2026-08-24 18:01:00,2468.85,2461.7749,2479.4626,2026-08-24 18:08:00,2473.8026,PARTIAL+TRAIL,0.821,True,False
ETH/USDT,2026-08-25 12:25:00,LONG,2026-08-25 12:58:00,2473.44,2456.0112,2499.5831,2026-08-25 13:27:00,2456.0112,STOP,-1.114,,
ETH/USDT,2026-08-25 07:50:00,LONG,2026-08-25 08:48:00,2485.53,2462.5216,2520.0426,2026-08-25 12:26:00,2462.5216,STOP,-1.086,,
