symbol,sweep_time,dir,fill_time,fill_price,stop,target,exit_time,exit_price,outcome,R,is_asian_sweep,has_smt
LKOH,2026-06-17 08:15:00,SHORT,2026-06-17 09:46:00,4527.5,4558.622,4449.695,2026-06-17 12:45:00,4558.622,STOP,-1.116,True,False
LKOH,2026-06-18 10:40:00,SHORT,2026-06-18 11:27:00,4461.5,4480.0692,4415.077,2026-06-18 12:22:00,4415.3554,PARTIAL+TRAIL,2.3,True,False
LKOH,2026-06-22 08:15:00,SHORT,2026-06-22 08:47:00,4413.5,4433.5308,4363.423,2026-06-22 10:06:00,4360.0246,PARTIAL+TRAIL,2.409,True,False
LKOH,2026-06-23 10:35:00,SHORT,2026-06-23 10:46:00,4211.0,4245.8688,4123.828,2026-06-23 12:54:00,4245.8688,STOP,-1.097,True,False
LKOH,2026-06-24 10:35:00,SHORT,2026-06-24 10:51:00,4188.0,4216.3504,4117.124,2026-06-24 12:33:00,4216.3504,STOP,-1.118,True,False
LKOH,2026-07-01 09:15:00,SHORT,2026-07-01 10:13:00,4586.0,4632.1688,4470.578,2026-07-02 14:28:00,4281.435,PARTIAL+TRAIL,4.469,True,False
LKOH,2026-07-13 11:35:00,SHORT,2026-07-13 11:51:00,4517.5,4551.614,4432.215,2026-07-13 15:20:00,4427.2912,PARTIAL+TRAIL,2.466,True,False
LKOH,2026-07-14 08:45:00,SHORT,2026-07-14 10:06:00,4520.0,4530.616,4493.46,2026-07-14 10:26:00,4498.9928,PARTIAL+TRAIL,1.899,True,False
LKOH,2026-07-15 11:25:00,SHORT,2026-07-15 11:55:00,4402.0,4441.5216,4303.196,2026-07-16 07:51:00,4290.1173,PARTIAL+TRAIL,2.576,True,False
LKOH,2026-07-15 11:25:00,SHORT,2026-07-15 11:55:00,4402.0,4441.5216,4303.196,2026-07-16 07:51:00,4290.1173,PARTIAL+TRAIL,2.576,True,False
LKOH,2026-07-17 10:40:00,SHORT,2026-07-17 11:29:00,4161.0,4203.3288,4055.178,2026-07-17 15:31:00,4069.863,PARTIAL+TRAIL,2.248,False,False
LKOH,2026-07-21 09:30:00,LONG,2026-07-21 10:17:00,4254.5,4239.0964,4293.009,2026-07-21 10:29:00,4239.0964,STOP,-1.221,True,False
LKOH,2026-07-22 11:35:00,LONG,2026-07-22 12:09:00,4506.0,4476.8952,4578.762,2026-07-22 15:48:00,4476.8952,STOP,-1.124,True,False
LKOH,2026-07-31 09:45:00,SHORT,2026-07-31 10:28:00,4614.0,4624.6912,4587.272,2026-07-31 10:59:00,4624.6912,STOP,-1.345,True,False
LKOH,2026-07-31 09:45:00,SHORT,2026-07-31 10:28:00,4614.0,4624.6912,4587.272,2026-07-31 10:59:00,4624.6912,STOP,-1.345,True,False
LKOH,2026-08-03 08:55:00,SHORT,2026-08-03 09:25:00,4583.0,4621.6664,4486.334,2026-08-04 04:00:00,4621.6664,STOP,-1.095,True,False
LKOH,2026-08-05 08:05:00,LONG,2026-08-05 09:06:00,4578.5,4551.3372,4646.407,2026-08-06 07:36:00,4667.2698,PARTIAL+TRAIL,2.749,False,False
LKOH,2026-08-06 10:10:00,LONG,2026-08-06 11:11:00,4595.5,4573.3236,4650.941,2026-08-07 04:00:00,4646.7589,PARTIAL+TRAIL,2.24,True,False
LKOH,2026-08-15 08:25:00,SHORT,2026-08-15 09:02:00,4332.5,4348.466,4292.585,2026-08-15 23:00:00,4348.466,STOP,-1.217,True,False
LKOH,2026-08-19 08:05:00,LONG,2026-08-19 08:56:00,4249.0,4231.1008,4293.748,2026-08-19 09:50:00,4231.1008,STOP,-1.19,True,False
LKOH,2026-08-21 09:15:00,SHORT,2026-08-21 10:20:00,4213.5,4263.8708,4087.573,2026-08-23 00:24:00,4263.8708,STOP,-1.067,True,False
LKOH,2026-08-25 08:20:00,LONG,2026-08-25 08:56:00,4128.5,4087.1972,4231.757,2026-08-25 14:50:00,4276.9578,PARTIAL+TRAIL,2.967,True,False
LKOH,2026-08-25 08:10:00,LONG,2026-08-25 08:56:00,4128.5,4118.1972,4154.257,2026-08-25 09:40:00,4118.1972,STOP,-1.321,True,False
LKOH,2026-09-11 10:30:00,LONG,2026-09-11 11:12:00,5255.0,5226.796,5325.51,2026-09-11 12:20:00,5226.796,STOP,-1.149,True,False
LKOH,2026-09-11 08:55:00,LONG,2026-09-11 10:28:00,5264.5,5245.7884,5311.279,2026-09-11 10:30:00,5322.0307,PARTIAL+TRAIL,2.562,True,False
