symbol,sweep_time,dir,fill_time,fill_price,stop,target,exit_time,exit_price,outcome,R,is_asian_sweep,has_smt
SOL/USDT,2026-06-28 22:50:00,LONG,2026-06-29 00:31:00,70.38,69.6737,71.4395,2026-06-29 14:44:00,73.065,PARTIAL+TRAIL,2.571,True,False
SOL/USDT,2026-07-05 22:20:00,SHORT,2026-07-05 22:36:00,81.91,82.4855,81.0467,2026-07-06 13:30:00,79.6904,PARTIAL+TRAIL,2.564,True,False
SOL/USDT,2026-08-16 21:40:00,LONG,2026-08-16 22:13:00,74.41,74.0305,74.9793,2026-08-17 08:04:00,75.6964,PARTIAL+TRAIL,2.288,True,False
SOL/USDT,2026-08-10 22:05:00,LONG,2026-08-10 22:21:00,76.29,76.069,76.6215,2026-08-10 22:34:00,76.069,STOP,-1.276,,
SOL/USDT,2026-08-16 21:40:00,LONG,2026-08-16 22:13:00,74.41,74.0305,74.9793,2026-08-17 08:04:00,75.6964,PARTIAL+TRAIL,2.288,True,False
SOL/USDT,2026-08-15 17:55:00,SHORT,2026-08-15 18:16:00,75.57,75.7405,75.3143,2026-08-16 00:27:00,75.4164,PARTIAL+TRAIL,0.846,True,False
SOL/USDT,2026-08-18 20:50:00,LONG,2026-08-18 21:28:00,76.96,76.6884,77.3674,2026-08-19 06:09:00,76.6884,STOP,-1.227,,
SOL/USDT,2026-08-19 17:15:00,LONG,2026-08-19 18:08:00,81.44,80.9948,82.1077,2026-08-19 19:14:00,82.0639,PARTIAL+TRAIL,1.304,True,False
SOL/USDT,2026-08-20 12:05:00,LONG,2026-08-20 13:01:00,87.03,86.5404,87.7644,2026-08-20 13:30:00,86.5404,STOP,-1.142,,
SOL/USDT,2026-08-20 13:35:00,LONG,2026-08-20 14:58:00,86.42,86.1409,86.8387,2026-08-20 15:03:00,87.0067,PARTIAL+TRAIL,1.553,True,False
SOL/USDT,2026-08-21 11:30:00,LONG,2026-08-21 12:41:00,90.88,89.8273,92.4591,2026-08-21 13:35:00,89.8273,STOP,-1.069,,
SOL/USDT,2026-08-21 19:40:00,LONG,2026-08-21 20:48:00,91.55,90.7168,92.7999,2026-08-21 22:17:00,93.7234,PARTIAL+TRAIL,1.966,True,False
SOL/USDT,2026-08-26 15:00:00,LONG,2026-08-26 15:34:00,95.84,94.8733,97.29,2026-08-26 22:23:00,100.1667,PARTIAL+TRAIL,2.909,True,False
SOL/USDT,2026-08-25 16:00:00,SHORT,2026-08-25 16:56:00,98.29,98.6586,97.7371,2026-08-25 17:16:00,97.7649,PARTIAL+TRAIL,1.249,True,False
SOL/USDT,2026-08-26 12:30:00,LONG,2026-08-26 13:36:00,96.25,95.953,96.6955,2026-08-26 13:46:00,96.6224,PARTIAL+TRAIL,1.118,True,False
SOL/USDT,2026-08-26 14:40:00,LONG,2026-08-26 15:34:00,95.84,95.5033,96.345,2026-08-26 16:43:00,95.5033,STOP,-1.228,,
SOL/USDT,2026-08-27 10:25:00,LONG,2026-08-27 11:11:00,104.35,103.0165,106.3502,2026-08-27 14:08:00,105.4432,PARTIAL+TRAIL,1.097,True,False
SOL/USDT,2026-08-28 18:45:00,LONG,2026-08-28 19:04:00,103.02,102.1976,104.2536,2026-08-28 21:18:00,103.5957,PARTIAL+TRAIL,1.0,True,False
SOL/USDT,2026-08-28 10:00:00,LONG,2026-08-28 10:16:00,105.15,104.7459,105.7562,2026-08-28 11:03:00,106.5667,PARTIAL+TRAIL,2.295,True,False
SOL/USDT,2026-08-28 08:45:00,LONG,2026-08-28 09:28:00,106.31,105.815,107.0526,2026-08-28 09:43:00,105.815,STOP,-1.172,,
SOL/USDT,2026-08-28 14:00:00,LONG,2026-08-28 15:10:00,105.24,103.8358,107.3463,2026-08-28 15:28:00,106.8066,PARTIAL+TRAIL,1.248,True,False
SOL/USDT,2026-08-30 12:05:00,SHORT,2026-08-30 12:30:00,105.46,105.8544,104.8684,2026-08-30 12:59:00,105.8544,STOP,-1.214,,
SOL/USDT,2026-08-31 08:40:00,SHORT,2026-08-31 10:38:00,103.11,103.5425,102.4613,2026-08-31 10:51:00,103.5425,STOP,-1.191,,
SOL/USDT,2026-08-31 23:00:00,LONG,2026-09-01 00:59:00,103.06,102.8176,103.4237,2026-09-01 01:07:00,103.326,PARTIAL+TRAIL,0.959,True,False
SOL/USDT,2026-09-04 09:15:00,SHORT,2026-09-04 09:27:00,104.21,104.8634,103.2299,2026-09-04 12:31:00,101.3627,PARTIAL+TRAIL,2.801,True,False
SOL/USDT,2026-09-05 09:00:00,SHORT,2026-09-05 10:11:00,102.52,102.872,101.992,2026-09-05 12:40:00,102.872,STOP,-1.233,,
SOL/USDT,2026-09-05 12:50:00,SHORT,2026-09-05 13:56:00,102.76,103.3222,101.9167,2026-09-05 16:52:00,103.3222,STOP,-1.146,,
SOL/USDT,2026-09-08 13:35:00,LONG,2026-09-08 14:04:00,102.46,101.898,103.303,2026-09-08 16:10:00,103.9504,PARTIAL+TRAIL,1.93,True,False
SOL/USDT,2026-09-08 03:20:00,LONG,2026-09-08 03:36:00,103.23,102.7374,103.9689,2026-09-08 06:19:00,102.7374,STOP,-1.168,,
SOL/USDT,2026-09-09 07:05:00,SHORT,2026-09-09 07:59:00,104.58,105.2837,103.5245,2026-09-09 10:38:00,104.0229,PARTIAL+TRAIL,1.027,True,False
