symbol,sweep_time,dir,fill_time,fill_price,stop,target,exit_time,exit_price,outcome,R,is_asian_sweep,has_smt
XRP/USDT,2026-06-15 17:10:00,SHORT,2026-06-15 17:39:00,1.2802,1.284,1.2745,2026-06-15 18:09:00,1.284,STOP,-1.268,,
XRP/USDT,2026-07-21 05:00:00,SHORT,2026-07-21 05:20:00,1.1325,1.1393,1.1223,2026-07-21 19:02:00,1.1393,STOP,-1.133,,
XRP/USDT,2026-07-10 00:30:00,LONG,2026-07-10 00:44:00,1.0917,1.0883,1.0968,2026-07-10 01:34:00,1.095,PARTIAL+TRAIL,0.98,True,True
XRP/USDT,2026-07-17 15:05:00,LONG,2026-07-17 15:42:00,1.0795,1.0765,1.0839,2026-07-17 16:22:00,1.0831,PARTIAL+TRAIL,1.071,True,False
XRP/USDT,2026-07-26 16:30:00,SHORT,2026-07-26 16:42:00,1.1046,1.1078,1.0998,2026-07-27 08:29:00,1.1078,STOP,-1.278,,
XRP/USDT,2026-08-13 05:35:00,SHORT,2026-08-13 06:06:00,1.0131,1.0159,1.0089,2026-08-13 11:31:00,1.0054,PARTIAL+TRAIL,1.823,True,False
XRP/USDT,2026-08-23 05:15:00,LONG,2026-08-23 05:29:00,1.4689,1.4381,1.5151,2026-08-23 06:08:00,1.4381,STOP,-1.038,,
XRP/USDT,2026-08-27 09:25:00,SHORT,2026-08-27 10:06:00,1.4384,1.4555,1.4128,2026-08-27 14:20:00,1.4555,STOP,-1.067,,
XRP/USDT,2026-08-30 13:45:00,SHORT,2026-08-30 14:08:00,1.406,1.4094,1.4009,2026-08-30 15:07:00,1.4032,PARTIAL+TRAIL,0.825,True,False
XRP/USDT,2026-08-30 18:30:00,SHORT,2026-08-30 18:49:00,1.4263,1.4345,1.4139,2026-08-30 20:44:00,1.3957,PARTIAL+TRAIL,2.469,True,False
XRP/USDT,2026-08-31 08:40:00,SHORT,2026-08-31 09:58:00,1.3731,1.3798,1.3631,2026-08-31 10:52:00,1.3798,STOP,-1.164,,
XRP/USDT,2026-08-31 23:00:00,LONG,2026-08-31 23:21:00,1.3791,1.3741,1.3866,2026-09-01 00:42:00,1.3843,PARTIAL+TRAIL,1.049,True,False
XRP/USDT,2026-09-04 09:15:00,SHORT,2026-09-04 09:27:00,1.4524,1.4638,1.4354,2026-09-04 12:31:00,1.41,PARTIAL+TRAIL,2.514,True,False
XRP/USDT,2026-09-06 03:40:00,SHORT,2026-09-06 05:35:00,1.4246,1.4337,1.4109,2026-09-06 07:21:00,1.4172,PARTIAL+TRAIL,1.029,True,False
XRP/USDT,2026-09-07 02:35:00,SHORT,2026-09-07 02:56:00,1.4193,1.4323,1.3997,2026-09-07 07:45:00,1.3985,PARTIAL+TRAIL,1.46,True,False
XRP/USDT,2026-09-09 01:20:00,LONG,2026-09-09 02:16:00,1.4142,1.4098,1.4208,2026-09-09 02:58:00,1.4176,PARTIAL+TRAIL,0.873,True,False
