symbol,sweep_time,dir,fill_time,fill_price,stop,target,exit_time,exit_price,outcome,R,is_asian_sweep,has_smt
YDEX,2026-06-16 08:05:00,SHORT,2026-06-16 09:22:00,4080.5,4089.2644,4058.589,2026-06-16 12:30:00,4057.0115,PARTIAL+TRAIL,2.218,True,False
YDEX,2026-06-17 10:35:00,SHORT,2026-06-17 11:07:00,4034.5,4056.7276,3978.931,2026-06-17 13:29:00,4056.7276,STOP,-1.145,True,False
YDEX,2026-06-22 08:00:00,SHORT,2026-06-22 09:01:00,3893.0,3928.1144,3805.214,2026-06-22 10:30:00,3791.0915,PARTIAL+TRAIL,2.612,True,False
YDEX,2026-06-29 08:30:00,SHORT,2026-06-29 09:22:00,3578.5,3592.3628,3543.843,2026-06-29 11:10:00,3546.0902,PARTIAL+TRAIL,2.212,True,False
YDEX,2026-06-29 10:55:00,LONG,2026-06-29 12:12:00,3556.0,3539.1552,3598.112,2026-06-29 14:58:00,3584.6362,PARTIAL+TRAIL,1.931,True,False
YDEX,2026-07-09 11:15:00,SHORT,2026-07-09 11:41:00,3661.0,3671.4288,3634.928,2026-07-09 13:28:00,3629.843,PARTIAL+TRAIL,2.463,True,False
YDEX,2026-07-09 09:15:00,SHORT,2026-07-09 09:36:00,3640.0,3652.912,3607.72,2026-07-09 10:47:00,3652.912,STOP,-1.226,True,False
YDEX,2026-07-09 08:40:00,SHORT,2026-07-09 09:36:00,3640.0,3647.412,3621.47,2026-07-09 10:05:00,3624.4296,PARTIAL+TRAIL,1.907,True,False
YDEX,2026-07-03 11:35:00,SHORT,2026-07-03 12:11:00,3489.0,3512.7912,3429.522,2026-07-03 12:30:00,3512.7912,STOP,-1.117,False,False
YDEX,2026-07-06 11:00:00,SHORT,2026-07-06 11:28:00,3475.5,3487.2804,3446.049,2026-07-06 13:03:00,3439.9243,PARTIAL+TRAIL,2.524,True,False
YDEX,2026-07-06 11:00:00,SHORT,2026-07-06 11:28:00,3475.5,3487.2804,3446.049,2026-07-06 13:03:00,3439.9243,PARTIAL+TRAIL,2.524,True,False
YDEX,2026-07-07 09:30:00,SHORT,2026-07-07 09:53:00,3445.0,3478.256,3361.86,2026-07-07 15:00:00,3478.256,STOP,-1.083,True,False
YDEX,2026-07-08 10:50:00,LONG,2026-07-08 11:31:00,3499.5,3481.7004,3543.999,2026-07-08 13:39:00,3537.2603,PARTIAL+TRAIL,2.153,True,False
YDEX,2026-07-10 11:30:00,SHORT,2026-07-10 11:46:00,3580.5,3604.8644,3519.589,2026-07-11 16:02:00,3523.9915,PARTIAL+TRAIL,2.292,False,False
YDEX,2026-07-10 11:20:00,SHORT,2026-07-10 11:46:00,3580.5,3591.8644,3552.089,2026-07-10 12:21:00,3554.0915,PARTIAL+TRAIL,2.16,True,False
YDEX,2026-07-15 11:25:00,SHORT,2026-07-15 12:01:00,3515.0,3552.312,3421.72,2026-07-16 07:06:00,3436.8496,PARTIAL+TRAIL,2.222,True,False
YDEX,2026-07-16 08:30:00,SHORT,2026-07-16 08:59:00,3485.0,3505.788,3433.03,2026-07-16 09:48:00,3505.788,STOP,-1.134,True,False
YDEX,2026-07-16 08:10:00,SHORT,2026-07-16 08:59:00,3485.0,3501.788,3443.03,2026-07-16 09:48:00,3501.788,STOP,-1.166,True,False
YDEX,2026-07-16 08:10:00,SHORT,2026-07-16 08:59:00,3485.0,3501.788,3443.03,2026-07-16 09:48:00,3501.788,STOP,-1.166,True,False
YDEX,2026-07-17 10:40:00,SHORT,2026-07-17 11:11:00,3385.5,3411.7084,3319.979,2026-07-17 15:03:00,3331.4667,PARTIAL+TRAIL,2.177,True,False
YDEX,2026-07-18 11:40:00,LONG,2026-07-18 12:47:00,3235.0,3222.412,3266.47,2026-07-18 16:00:00,3222.412,STOP,-1.206,False,False
YDEX,2026-07-23 10:15:00,SHORT,2026-07-23 10:46:00,3665.0,3690.932,3600.17,2026-07-23 14:32:00,3690.932,STOP,-1.113,False,False
YDEX,2026-07-28 08:05:00,LONG,2026-07-28 10:06:00,3826.0,3807.4392,3872.402,2026-07-28 13:09:00,3894.1514,PARTIAL+TRAIL,2.921,True,False
YDEX,2026-08-03 09:20:00,SHORT,2026-08-03 09:38:00,3979.5,3994.6836,3941.541,2026-08-03 12:16:00,3946.1469,PARTIAL+TRAIL,2.139,True,False
