symbol,sweep_time,dir,fill_time,fill_price,stop,target,exit_time,exit_price,outcome,R,is_asian_sweep,has_smt
BTC/USDT,2026-08-05 10:45:00,LONG,2026-08-05 11:36:00,64115.0,63981.498,64315.253,2026-08-06 02:03:00,64548.1984,PARTIAL+TRAIL,1.988,False,False
BTC/USDT,2026-08-20 03:10:00,LONG,2026-08-20 03:39:00,69068.31,68854.7454,69388.657,2026-08-20 05:46:00,69495.1483,PARTIAL+TRAIL,1.491,False,False
BTC/USDT,2026-08-20 12:05:00,LONG,2026-08-20 13:25:00,71868.71,71447.515,72500.5025,2026-08-20 13:36:00,71447.515,STOP,-1.137,True,False
BTC/USDT,2026-08-20 13:35:00,LONG,2026-08-20 14:14:00,71817.04,71077.5464,72926.2804,2026-08-20 19:01:00,72348.4151,PARTIAL+TRAIL,1.032,True,False
BTC/USDT,2026-08-21 18:40:00,LONG,2026-08-21 19:34:00,77200.01,76806.33,77790.53,2026-08-21 21:36:00,78204.036,PARTIAL+TRAIL,1.868,True,False
BTC/USDT,2026-08-22 05:10:00,LONG,2026-08-22 05:54:00,77265.01,76446.578,78492.658,2026-08-23 05:08:00,76446.578,STOP,-1.076,False,False
BTC/USDT,2026-08-23 11:20:00,SHORT,2026-08-23 12:41:00,77200.0,77376.76,76934.86,2026-08-23 13:17:00,77376.76,STOP,-1.349,False,False
BTC/USDT,2026-08-24 01:55:00,LONG,2026-08-24 02:46:00,77371.43,76850.2229,78153.2407,2026-08-24 04:51:00,76850.2229,STOP,-1.119,False,False
BTC/USDT,2026-08-24 04:50:00,LONG,2026-08-24 05:20:00,77000.01,76608.5,77587.275,2026-08-24 07:34:00,77470.722,PARTIAL+TRAIL,1.194,False,False
BTC/USDT,2026-08-25 09:50:00,LONG,2026-08-25 11:09:00,79224.99,78829.48,79818.255,2026-08-25 12:06:00,78829.48,STOP,-1.16,False,False
BTC/USDT,2026-08-25 13:45:00,LONG,2026-08-25 14:02:00,78532.14,78315.1843,78857.5736,2026-08-25 14:18:00,78928.6054,PARTIAL+TRAIL,1.374,True,False
BTC/USDT,2026-08-25 13:50:00,LONG,2026-08-25 14:02:00,78532.14,78055.1743,79247.5886,2026-08-25 16:14:00,79185.0974,PARTIAL+TRAIL,1.303,True,False
BTC/USDT,2026-08-25 17:20:00,LONG,2026-08-25 19:26:00,79010.0,78733.802,79424.297,2026-08-25 19:43:00,78733.802,STOP,-1.229,False,False
BTC/USDT,2026-08-26 12:30:00,LONG,2026-08-26 13:51:00,78270.0,77879.114,78856.329,2026-08-26 14:48:00,77879.114,STOP,-1.16,True,False
BTC/USDT,2026-08-26 22:00:00,SHORT,2026-08-26 23:25:00,78775.0,78935.62,78534.07,2026-08-26 23:35:00,78935.62,STOP,-1.392,False,False
BTC/USDT,2026-08-27 13:30:00,LONG,2026-08-27 14:01:00,79420.35,79041.7737,79988.2144,2026-08-27 14:47:00,80090.569,PARTIAL+TRAIL,1.467,True,False
BTC/USDT,2026-08-27 18:10:00,LONG,2026-08-27 19:02:00,80115.0,79922.508,80403.738,2026-08-27 19:59:00,79922.508,STOP,-1.333,True,False
BTC/USDT,2026-08-28 02:50:00,LONG,2026-08-28 03:27:00,79980.0,79664.826,80452.761,2026-08-28 04:07:00,79664.826,STOP,-1.203,False,False
BTC/USDT,2026-08-28 05:00:00,LONG,2026-08-28 05:56:00,79708.03,79517.7036,79993.5196,2026-08-28 07:04:00,79844.4689,PARTIAL+TRAIL,0.773,False,False
BTC/USDT,2026-08-28 14:05:00,LONG,2026-08-28 14:47:00,79250.01,78560.0,80285.025,2026-08-28 15:53:00,78560.0,STOP,-1.092,True,False
BTC/USDT,2026-08-28 14:10:00,LONG,2026-08-28 14:47:00,79250.01,78365.17,80577.27,2026-08-28 15:58:00,78365.17,STOP,-1.072,True,False
