symbol,sweep_time,dir,fill_time,fill_price,stop,target,exit_time,exit_price,outcome,R,is_asian_sweep,has_smt
ADA/USDT,2026-06-23 11:30:00,SHORT,2026-06-24 01:31:00,0.1535,0.1543,0.1526,2026-06-24 02:44:00,0.153,PARTIAL+TRAIL,0.614,False,False
ADA/USDT,2026-06-26 19:35:00,SHORT,2026-06-26 21:45:00,0.148,0.1483,0.1478,2026-06-26 22:03:00,0.147,PARTIAL+TRAIL,1.962,True,False
ADA/USDT,2026-07-07 05:20:00,LONG,2026-07-07 05:50:00,0.1797,0.1788,0.1806,2026-07-07 07:29:00,0.1807,PARTIAL+TRAIL,0.912,False,False
ADA/USDT,2026-08-13 03:05:00,SHORT,2026-08-13 16:50:00,0.1814,0.1837,0.179,2026-08-14 15:46:00,0.18,PARTIAL+TRAIL,0.737,False,False
ADA/USDT,2026-08-19 05:35:00,SHORT,2026-08-19 06:15:00,0.1752,0.1759,0.1744,2026-08-19 06:39:00,0.1759,STOP,-1.197,False,False
ADA/USDT,2026-08-23 02:10:00,LONG,2026-08-23 02:42:00,0.2231,0.2224,0.2238,2026-08-23 02:50:00,0.2238,PARTIAL+TRAIL,0.742,False,False
ADA/USDT,2026-08-24 01:35:00,LONG,2026-08-24 02:47:00,0.2198,0.2194,0.2203,2026-08-24 02:53:00,0.22,BE_STOP,0.0,False,False
ADA/USDT,2026-08-24 01:55:00,LONG,2026-08-24 02:47:00,0.2198,0.2179,0.2218,2026-08-24 03:30:00,0.2179,STOP,-1.089,False,False
ADA/USDT,2026-08-25 06:50:00,LONG,2026-08-25 07:36:00,0.2243,0.2228,0.2257,2026-08-25 07:48:00,0.2228,STOP,-1.121,False,False
ADA/USDT,2026-08-25 12:00:00,LONG,2026-08-25 13:07:00,0.2177,0.2162,0.2191,2026-08-25 13:15:00,0.2162,STOP,-1.118,True,False
ADA/USDT,2026-08-28 15:00:00,SHORT,2026-08-28 15:20:00,0.2093,0.2119,0.2067,2026-08-28 16:06:00,0.204,PARTIAL+TRAIL,1.451,False,False
ADA/USDT,2026-08-30 21:00:00,LONG,2026-08-30 21:46:00,0.2001,0.1983,0.2018,2026-08-30 22:30:00,0.1983,STOP,-1.091,True,False
ADA/USDT,2026-08-31 17:40:00,SHORT,2026-08-31 18:15:00,0.1976,0.1984,0.1969,2026-08-31 18:17:00,0.1984,STOP,-1.212,True,False
ADA/USDT,2026-09-02 03:10:00,SHORT,2026-09-02 05:23:00,0.1983,0.1987,0.198,2026-09-02 05:24:00,0.1987,STOP,-1.457,False,False
ADA/USDT,2026-09-03 22:25:00,LONG,2026-09-03 23:17:00,0.2205,0.2195,0.2214,2026-09-03 23:56:00,0.2209,PARTIAL+TRAIL,0.557,True,False
ADA/USDT,2026-09-04 01:00:00,LONG,2026-09-04 01:40:00,0.2215,0.2182,0.2248,2026-09-04 04:07:00,0.2232,PARTIAL+TRAIL,0.707,False,False
ADA/USDT,2026-09-04 23:00:00,LONG,2026-09-05 00:07:00,0.2105,0.2093,0.2118,2026-09-05 02:03:00,0.2093,STOP,-1.133,True,False
ADA/USDT,2026-09-05 21:00:00,LONG,2026-09-05 22:22:00,0.2196,0.2178,0.2214,2026-09-06 01:57:00,0.2214,PARTIAL+TRAIL,0.906,True,False
ADA/USDT,2026-09-07 07:00:00,LONG,2026-09-07 07:23:00,0.2187,0.2175,0.2198,2026-09-07 07:33:00,0.2175,STOP,-1.148,True,False
ADA/USDT,2026-09-07 07:40:00,LONG,2026-09-07 09:54:00,0.2173,0.2142,0.2204,2026-09-07 13:36:00,0.2224,PARTIAL+TRAIL,1.26,True,False
ADA/USDT,2026-09-09 01:15:00,LONG,2026-09-09 01:52:00,0.219,0.218,0.2201,2026-09-09 02:16:00,0.218,STOP,-1.162,False,False
