symbol,sweep_time,dir,fill_time,fill_price,stop,target,exit_time,exit_price,outcome,R,is_asian_sweep,has_smt
DOGE/USDT,2026-07-05 03:25:00,LONG,2026-07-05 04:58:00,0.0761,0.0758,0.0764,2026-07-05 05:41:00,0.0758,STOP,-1.204,False,False
DOGE/USDT,2026-07-15 13:10:00,SHORT,2026-07-15 14:16:00,0.075,0.0751,0.0748,2026-07-15 14:18:00,0.0751,STOP,-1.369,False,False
DOGE/USDT,2026-08-23 03:30:00,LONG,2026-08-23 04:03:00,0.091,0.0906,0.0914,2026-08-23 04:16:00,0.0914,PARTIAL+TRAIL,0.809,False,False
DOGE/USDT,2026-08-23 05:15:00,LONG,2026-08-23 05:36:00,0.0901,0.0886,0.0916,2026-08-23 14:42:00,0.0933,PARTIAL+TRAIL,1.504,False,False
DOGE/USDT,2026-08-24 06:40:00,LONG,2026-08-24 07:00:00,0.0916,0.0911,0.092,2026-08-24 07:18:00,0.0923,PARTIAL+TRAIL,1.109,False,False
DOGE/USDT,2026-08-27 04:35:00,LONG,2026-08-27 06:04:00,0.0868,0.0864,0.0873,2026-08-27 08:04:00,0.0877,PARTIAL+TRAIL,1.316,False,False
DOGE/USDT,2026-08-28 14:00:00,SHORT,2026-08-28 15:25:00,0.0875,0.0878,0.0872,2026-08-28 15:30:00,0.0873,PARTIAL+TRAIL,0.635,True,False
DOGE/USDT,2026-08-31 03:45:00,SHORT,2026-08-31 05:16:00,0.0824,0.0827,0.0821,2026-08-31 05:19:00,0.0827,STOP,-1.228,False,False
DOGE/USDT,2026-09-11 12:30:00,LONG,2026-09-11 13:33:00,0.0844,0.0822,0.0867,2026-09-11 14:12:00,0.0865,PARTIAL+TRAIL,0.924,True,False
DOGE/USDT,2026-09-11 15:50:00,LONG,2026-09-11 16:18:00,0.0852,0.0845,0.086,2026-09-11 18:03:00,0.0845,STOP,-1.092,True,False
