symbol,sweep_time,confirm_time,dir,fill_time,fill_price,stop,target_tp1,target_tp2,exit_time,exit_price,outcome,R,banked_r,is_asian_sweep,has_smt
ETH/USDT,2026-06-15 19:15:00,2026-06-15 19:35:00,LONG,2026-06-15 19:50:00,1822.955,1808.7956,1837.1144,1845.865,2026-06-16 09:53:00,1808.7956,INITIAL_STOP,-1.103,0.0,True,False
ETH/USDT,2026-06-19 21:05:00,2026-06-19 21:25:00,SHORT,2026-06-19 22:20:00,1706.83,1711.0702,1702.5898,1699.9693,2026-06-19 23:56:00,1711.0702,INITIAL_STOP,-1.322,0.0,True,False
ETH/USDT,2026-06-25 12:30:00,2026-06-25 13:25:00,SHORT,2026-06-25 13:30:00,1636.035,1652.7941,1619.2759,1608.9189,2026-06-26 02:59:00,1608.9189,GRID_B_FULL_TP,1.231,1.309,False,False
ETH/USDT,2026-06-26 19:35:00,2026-06-26 20:35:00,SHORT,2026-06-26 21:30:00,1575.16,1585.7327,1564.5873,1558.0533,2026-06-27 12:55:00,1585.7327,INITIAL_STOP,-1.119,0.0,True,False
ETH/USDT,2026-07-06 12:40:00,2026-07-06 13:50:00,LONG,2026-07-06 13:58:00,1746.795,1726.2798,1767.3102,1779.9886,2026-07-06 15:44:00,1779.9886,GRID_B_FULL_TP,1.241,1.309,False,False
ETH/USDT,2026-07-13 12:35:00,2026-07-13 13:35:00,LONG,2026-07-13 13:40:00,1771.635,1762.1925,1781.0775,1786.9129,2026-07-14 04:05:00,1786.9129,GRID_B_FULL_TP,1.159,1.309,False,False
ETH/USDT,2026-07-16 07:35:00,2026-07-16 08:30:00,LONG,2026-07-16 08:45:00,1888.315,1870.5975,1906.0325,1916.9819,2026-07-16 22:40:00,1870.5975,INITIAL_STOP,-1.085,0.0,True,False
ETH/USDT,2026-07-28 00:50:00,2026-07-28 01:30:00,LONG,2026-07-28 01:40:00,1876.58,1863.5651,1889.5949,1897.6381,2026-07-28 17:32:00,1897.6381,GRID_B_FULL_TP,1.194,1.309,False,False
ETH/USDT,2026-08-18 02:45:00,2026-08-18 03:40:00,LONG,2026-08-18 04:01:00,1892.13,1883.0418,1901.2182,1906.8347,2026-08-18 14:23:00,1906.8347,GRID_B_FULL_TP,1.142,1.309,False,False
ETH/USDT,2026-08-18 02:25:00,2026-08-18 03:40:00,LONG,2026-08-18 04:01:00,1892.13,1883.0418,1901.2182,1906.8347,2026-08-18 14:23:00,1906.8347,GRID_B_FULL_TP,1.142,1.309,False,False
ETH/USDT,2026-08-20 03:10:00,2026-08-20 03:20:00,LONG,2026-08-20 03:25:00,2236.495,2219.4853,2253.5047,2264.0168,2026-08-20 06:45:00,2264.0168,GRID_B_FULL_TP,1.204,1.309,False,False
ETH/USDT,2026-08-20 06:05:00,2026-08-20 06:25:00,LONG,2026-08-20 07:31:00,2248.29,2235.6176,2260.9624,2268.794,2026-08-20 08:10:00,2268.794,GRID_B_FULL_TP,1.167,1.309,False,False
ETH/USDT,2026-08-21 11:30:00,2026-08-21 12:40:00,LONG,2026-08-21 13:23:00,2382.25,2353.1566,2411.3434,2429.3231,2026-08-21 18:20:00,2429.3231,GRID_B_FULL_TP,1.243,1.309,True,False
ETH/USDT,2026-08-23 02:20:00,2026-08-23 02:35:00,LONG,2026-08-23 02:54:00,2417.335,2403.524,2431.146,2439.6812,2026-08-23 04:08:00,2403.524,INITIAL_STOP,-1.14,0.0,False,False
ETH/USDT,2026-08-25 07:45:00,2026-08-25 08:15:00,LONG,2026-08-25 08:51:00,2484.335,2460.7835,2507.8865,2522.4413,2026-08-25 12:26:00,2460.7835,INITIAL_STOP,-1.084,0.0,False,False
ETH/USDT,2026-08-25 07:50:00,2026-08-25 08:15:00,LONG,2026-08-25 08:51:00,2484.335,2460.7835,2507.8865,2522.4413,2026-08-25 12:26:00,2460.7835,INITIAL_STOP,-1.084,0.0,True,False
ETH/USDT,2026-08-26 04:05:00,2026-08-26 04:50:00,SHORT,2026-08-26 05:25:00,2462.755,2476.4041,2449.1059,2440.6707,2026-08-26 10:36:00,2460.7848,BE_STOP,0.356,0.5,False,False
ETH/USDT,2026-08-26 19:25:00,2026-08-26 19:40:00,SHORT,2026-08-26 19:47:00,2473.28,2487.5399,2459.0201,2450.2074,2026-08-26 21:10:00,2487.5399,INITIAL_STOP,-1.139,0.0,True,False
ETH/USDT,2026-09-02 03:25:00,2026-09-02 04:10:00,SHORT,2026-09-02 04:21:00,2410.905,2427.7464,2394.0636,2383.6557,2026-09-02 07:11:00,2427.7464,INITIAL_STOP,-1.115,0.0,False,False
ETH/USDT,2026-09-03 02:50:00,2026-09-03 03:35:00,SHORT,2026-09-03 03:56:00,2403.27,2414.3949,2392.1451,2385.2699,2026-09-03 05:22:00,2385.2699,GRID_B_FULL_TP,1.136,1.309,False,False
