symbol,sweep_time,confirm_time,dir,fill_time,fill_price,stop,target_tp1,target_tp2,exit_time,exit_price,outcome,R,banked_r,is_asian_sweep,has_smt
ROSN,2025-10-13 08:15:00,2025-10-13 09:15:00,LONG,2025-10-13 09:33:00,404.8,401.9928,411.818,412.1492,2025-10-13 11:07:00,401.9928,INITIAL_STOP,-1.159,0.0,True,False
ROSN,2025-11-17 09:00:00,2025-11-17 10:15:00,SHORT,2025-11-17 10:53:00,383.275,384.5749,380.0252,379.8718,2025-11-17 14:58:00,379.8718,GRID_B_FULL_TP,2.235,2.559,True,False
ROSN,2025-11-21 11:45:00,2025-11-21 12:00:00,LONG,2025-11-21 12:19:00,403.575,400.8446,410.4009,410.7231,2025-11-21 14:55:00,410.7231,GRID_B_FULL_TP,2.396,2.559,True,False
ROSN,2026-03-29 11:55:00,2026-03-29 12:20:00,SHORT,2026-03-29 13:14:00,496.75,498.4451,492.5122,492.3122,2026-03-29 16:02:00,498.4451,INITIAL_STOP,-1.322,0.0,True,False
ROSN,2026-05-04 09:25:00,2026-05-04 09:55:00,LONG,2026-05-04 10:00:00,421.975,419.717,427.6199,427.8863,2026-05-04 13:34:00,419.717,INITIAL_STOP,-1.206,0.0,True,False
ROSN,2026-05-19 09:55:00,2026-05-19 10:25:00,LONG,2026-05-19 10:32:00,409.875,408.3852,413.5995,413.7753,2026-05-20 06:57:00,408.3852,INITIAL_STOP,-1.303,0.0,True,False
ROSN,2026-06-23 08:05:00,2026-06-23 08:30:00,SHORT,2026-06-23 08:38:00,305.05,308.2076,297.1561,296.7835,2026-06-23 09:20:00,308.2076,INITIAL_STOP,-1.106,0.0,True,False
ROSN,2026-07-27 10:15:00,2026-07-27 10:45:00,SHORT,2026-07-27 11:52:00,343.55,346.4653,336.2617,335.9177,2026-07-28 07:32:00,335.9177,GRID_B_FULL_TP,2.429,2.559,True,False
ROSN,2026-07-27 10:25:00,2026-07-27 10:45:00,SHORT,2026-07-27 11:52:00,343.55,346.4653,336.2617,335.9177,2026-07-28 07:32:00,335.9177,GRID_B_FULL_TP,2.429,2.559,True,False
ROSN,2026-07-27 10:35:00,2026-07-27 10:45:00,SHORT,2026-07-27 11:52:00,343.55,346.4653,336.2617,335.9177,2026-07-28 07:32:00,335.9177,GRID_B_FULL_TP,2.429,2.559,True,False
ROSN,2026-09-11 10:15:00,2026-09-11 11:00:00,LONG,2026-09-11 11:47:00,348.625,345.4771,356.4948,356.8663,2026-09-11 14:11:00,349.6,TIMEOUT,0.188,0.0,True,False
