symbol,sweep_time,confirm_time,dir,fill_time,fill_price,stop,target_tp1,target_tp2,exit_time,exit_price,outcome,R,banked_r,is_asian_sweep,has_smt
SBER,2025-09-22 11:50:00,2025-09-22 12:15:00,SHORT,2025-09-22 12:20:00,295.34,296.743,291.8325,291.6669,2025-09-22 14:45:00,296.743,INITIAL_STOP,-1.232,0.0,True,False
SBER,2025-10-24 10:10:00,2025-10-24 10:45:00,SHORT,2025-10-24 12:16:00,289.23,295.3638,273.8954,273.1716,2025-10-26 20:21:00,287.1,TIMEOUT,0.295,0.0,True,False
SBER,2025-10-24 10:30:00,2025-10-24 10:45:00,SHORT,2025-10-24 12:16:00,289.23,295.3638,273.8954,273.1716,2025-10-26 20:21:00,287.1,TIMEOUT,0.295,0.0,True,False
SBER,2025-11-11 09:00:00,2025-11-11 09:15:00,LONG,2025-11-11 10:12:00,299.015,297.6115,302.5238,302.6894,2025-11-12 14:05:00,297.6115,INITIAL_STOP,-1.234,0.0,True,False
SBER,2025-11-28 10:15:00,2025-11-28 10:35:00,SHORT,2025-11-28 10:59:00,301.755,302.5526,299.7609,299.6668,2025-11-28 11:15:00,302.5526,INITIAL_STOP,-1.416,0.0,True,False
SBER,2026-02-27 11:50:00,2026-02-27 12:45:00,SHORT,2026-02-27 13:13:00,315.035,316.2626,311.9661,311.8213,2026-02-28 00:01:00,316.2626,INITIAL_STOP,-1.282,0.0,False,False
SBER,2026-03-10 09:35:00,2026-03-10 10:00:00,LONG,2026-03-10 10:19:00,318.125,316.8728,321.2555,321.4032,2026-03-10 12:10:00,316.8728,INITIAL_STOP,-1.279,0.0,True,False
SBER,2026-05-26 09:35:00,2026-05-26 09:50:00,SHORT,2026-05-26 11:02:00,320.835,321.7113,318.6444,318.541,2026-05-27 07:12:00,321.7113,INITIAL_STOP,-1.403,0.0,True,False
SBER,2026-06-30 11:40:00,2026-06-30 11:55:00,LONG,2026-06-30 12:35:00,308.3,307.1076,311.2811,311.4218,2026-06-30 13:49:00,307.1076,INITIAL_STOP,-1.284,0.0,False,False
SBER,2026-07-01 08:00:00,2026-07-01 08:45:00,LONG,2026-07-01 09:10:00,307.665,306.5385,310.4812,310.6142,2026-07-01 09:23:00,310.6142,GRID_B_FULL_TP,2.259,2.559,True,False
SBER,2026-07-03 11:25:00,2026-07-03 12:05:00,SHORT,2026-07-03 12:29:00,301.705,303.4326,297.3861,297.1823,2026-07-05 00:04:00,303.4326,INITIAL_STOP,-1.192,0.0,True,False
SBER,2026-07-21 09:30:00,2026-07-21 10:10:00,LONG,2026-07-21 10:34:00,257.56,255.8137,261.9259,262.1319,2026-07-21 13:07:00,262.1319,GRID_B_FULL_TP,2.397,2.559,True,False
SBER,2026-08-05 08:40:00,2026-08-05 09:05:00,LONG,2026-08-05 09:19:00,285.25,284.3421,287.5197,287.6268,2026-08-05 16:04:00,287.6268,GRID_B_FULL_TP,2.213,2.559,False,False
SBER,2026-08-25 08:20:00,2026-08-25 08:55:00,LONG,2026-08-25 09:40:00,269.26,267.5961,273.4197,273.6161,2026-08-25 14:47:00,273.6161,GRID_B_FULL_TP,2.381,2.559,True,False
