symbol,sweep_time,confirm_time,dir,fill_time,fill_price,stop,target_tp1,target_tp2,exit_time,exit_price,outcome,R,banked_r,is_asian_sweep,has_smt
SOL/USDT,2026-06-18 14:50:00,2026-06-19 05:05:00,LONG,2026-06-19 05:20:00,68.45,68.0973,68.8027,69.0206,2026-06-19 06:37:00,68.5048,BE_STOP,0.345,0.5,False,False
SOL/USDT,2026-06-19 04:25:00,2026-06-19 05:05:00,LONG,2026-06-19 05:20:00,68.45,68.0973,68.8027,69.0206,2026-06-19 06:37:00,68.5048,BE_STOP,0.345,0.5,False,False
SOL/USDT,2026-06-23 08:20:00,2026-06-23 08:35:00,LONG,2026-06-23 08:48:00,68.655,68.067,69.243,69.6064,2026-06-24 01:02:00,69.6064,GRID_B_FULL_TP,1.216,1.309,False,False
SOL/USDT,2026-07-09 07:20:00,2026-07-09 07:55:00,SHORT,2026-07-09 08:26:00,78.3,78.7075,77.8925,77.6407,2026-07-10 01:15:00,78.2374,BE_STOP,0.346,0.5,False,False
SOL/USDT,2026-07-16 06:35:00,2026-07-16 06:50:00,LONG,2026-07-16 07:00:00,77.3,77.0041,77.5959,77.7788,2026-07-16 07:28:00,77.0041,INITIAL_STOP,-1.209,0.0,True,False
SOL/USDT,2026-07-27 08:10:00,2026-07-27 09:05:00,SHORT,2026-07-27 09:13:00,76.26,76.5444,75.9756,75.7999,2026-07-27 09:50:00,76.5444,INITIAL_STOP,-1.215,0.0,False,False
SOL/USDT,2026-08-02 14:05:00,2026-08-02 14:50:00,SHORT,2026-08-02 15:13:00,73.18,73.3398,73.0202,72.9215,2026-08-02 16:33:00,73.1215,BE_STOP,0.134,0.5,True,False
SOL/USDT,2026-08-10 22:05:00,2026-08-10 22:15:00,LONG,2026-08-10 22:22:00,76.27,76.0156,76.5244,76.6816,2026-08-10 23:49:00,76.0156,INITIAL_STOP,-1.24,0.0,True,False
SOL/USDT,2026-08-12 23:50:00,2026-08-13 00:10:00,LONG,2026-08-13 00:33:00,75.69,75.4465,75.9335,76.084,2026-08-13 03:10:00,76.084,GRID_B_FULL_TP,1.06,1.309,False,False
SOL/USDT,2026-08-19 17:15:00,2026-08-19 17:45:00,LONG,2026-08-19 18:09:00,81.35,80.898,81.802,82.0814,2026-08-19 18:36:00,82.0814,GRID_B_FULL_TP,1.165,1.309,True,False
