symbol,sweep_time,dir,fill_time,fill_price,stop,target,exit_time,exit_price,outcome,R,is_asian_sweep,has_smt
T,2026-06-16 09:55:00,LONG,2026-06-16 11:16:00,302.28,301.3582,304.5846,2026-06-16 11:45:00,301.3582,STOP,-1.262,True,False
T,2026-06-19 09:05:00,SHORT,2026-06-19 09:33:00,291.34,292.7331,287.8573,2026-06-19 10:31:00,285.5145,PARTIAL+TRAIL,3.174,True,False
T,2026-08-11 10:25:00,SHORT,2026-08-11 11:06:00,282.36,283.7059,278.9953,2026-08-11 12:26:00,283.7059,STOP,-1.168,True,False
T,2026-06-23 09:35:00,SHORT,2026-06-23 09:58:00,276.6,277.4213,274.5468,2026-06-23 10:24:00,277.4213,STOP,-1.269,True,False
T,2026-06-25 08:15:00,SHORT,2026-06-25 08:31:00,271.74,273.4774,267.3965,2026-06-25 10:17:00,266.3899,PARTIAL+TRAIL,2.665,True,False
T,2026-07-03 11:35:00,SHORT,2026-07-03 12:11:00,254.4,256.3035,249.6412,2026-07-03 12:30:00,256.3035,STOP,-1.107,True,False
T,2026-07-08 10:30:00,LONG,2026-07-08 10:46:00,253.88,252.3569,257.6878,2026-07-08 14:54:00,257.3415,PARTIAL+TRAIL,2.253,True,False
T,2026-07-13 11:50:00,LONG,2026-07-13 12:21:00,252.98,252.0176,255.386,2026-07-13 14:14:00,252.0176,STOP,-1.21,True,False
T,2026-07-14 11:15:00,LONG,2026-07-14 12:12:00,250.1,249.2399,252.2502,2026-07-14 13:40:00,249.2399,STOP,-1.233,True,False
T,2026-07-20 08:00:00,LONG,2026-07-20 08:16:00,223.92,222.8809,226.5178,2026-07-20 09:15:00,226.6687,PARTIAL+TRAIL,2.4,True,False
T,2026-07-24 08:20:00,LONG,2026-07-24 08:47:00,245.82,243.6233,251.3116,2026-07-24 10:20:00,243.6233,STOP,-1.09,True,False
T,2026-07-28 08:00:00,LONG,2026-07-28 08:55:00,260.66,258.8915,265.0813,2026-07-29 08:40:00,265.5652,PARTIAL+TRAIL,2.519,True,False
T,2026-08-04 10:40:00,LONG,2026-08-04 11:44:00,271.18,269.9031,274.3724,2026-08-04 11:56:00,269.9031,STOP,-1.17,True,False
T,2026-08-11 10:25:00,SHORT,2026-08-11 11:06:00,282.36,283.7059,278.9953,2026-08-11 12:26:00,283.7059,STOP,-1.168,True,False
T,2026-08-25 08:20:00,LONG,2026-08-25 08:56:00,250.44,248.7996,254.5409,2026-08-25 14:35:00,254.2477,PARTIAL+TRAIL,2.289,False,False
T,2026-09-01 10:20:00,SHORT,2026-09-01 11:36:00,257.12,257.9057,255.1558,2026-09-01 12:50:00,255.4486,PARTIAL+TRAIL,2.052,True,False
T,2026-08-26 09:00:00,SHORT,2026-08-26 09:41:00,253.14,253.8825,251.2837,2026-08-26 10:08:00,251.194,PARTIAL+TRAIL,2.288,False,False
T,2026-08-27 08:30:00,SHORT,2026-08-27 08:56:00,251.12,252.0409,248.8178,2026-08-27 10:30:00,252.0409,STOP,-1.218,True,False
T,2026-09-08 10:55:00,SHORT,2026-09-08 11:52:00,264.94,265.612,263.2601,2026-09-08 14:25:00,262.5376,PARTIAL+TRAIL,2.722,True,False
T,2026-09-07 09:15:00,SHORT,2026-09-07 09:42:00,262.6,263.2901,260.8748,2026-09-07 10:55:00,263.2901,STOP,-1.304,True,False
T,2026-09-09 11:35:00,SHORT,2026-09-09 12:16:00,259.96,260.888,257.6401,2026-09-09 16:01:00,260.888,STOP,-1.224,True,False
