symbol,sweep_time,confirm_time,dir,fill_time,fill_price,stop,target_tp1,target_tp2,exit_time,exit_price,outcome,R,banked_r,is_asian_sweep,has_smt
XRP/USDT,2026-06-16 09:50:00,2026-06-16 10:20:00,LONG,2026-06-16 10:30:00,1.2397,1.235,1.2445,1.2474,2026-06-16 11:34:00,1.235,INITIAL_STOP,-1.211,0.0,False,False
XRP/USDT,2026-06-18 13:45:00,2026-06-18 14:20:00,LONG,2026-06-18 14:28:00,1.1627,1.1541,1.1714,1.1768,2026-06-19 04:29:00,1.1541,INITIAL_STOP,-1.107,0.0,False,False
XRP/USDT,2026-06-20 00:25:00,2026-06-20 14:05:00,SHORT,2026-06-20 14:45:00,1.1403,1.1449,1.1357,1.1328,2026-06-20 14:46:00,1.1449,INITIAL_STOP,-1.198,0.0,False,False
XRP/USDT,2026-07-14 20:30:00,2026-07-14 21:05:00,SHORT,2026-07-14 21:13:00,1.11,1.1137,1.1063,1.1041,2026-07-14 22:20:00,1.1091,BE_STOP,0.258,0.5,True,False
XRP/USDT,2026-07-24 13:35:00,2026-07-24 14:55:00,LONG,2026-07-24 15:05:00,1.0901,1.0851,1.0952,1.0984,2026-07-25 22:56:00,1.0984,GRID_B_FULL_TP,1.137,1.309,True,False
XRP/USDT,2026-07-29 10:10:00,2026-07-29 10:30:00,SHORT,2026-07-29 10:42:00,1.0882,1.0915,1.0849,1.0828,2026-07-29 12:03:00,1.0828,GRID_B_FULL_TP,1.048,1.309,False,False
XRP/USDT,2026-08-02 14:05:00,2026-08-02 14:55:00,SHORT,2026-08-02 15:13:00,1.0822,1.0848,1.0796,1.078,2026-08-02 16:02:00,1.078,GRID_B_FULL_TP,0.979,1.309,True,False
XRP/USDT,2026-08-13 05:35:00,2026-08-13 06:05:00,SHORT,2026-08-13 06:48:00,1.0134,1.0166,1.0102,1.0082,2026-08-13 09:54:00,1.0126,BE_STOP,0.248,0.5,False,False
XRP/USDT,2026-08-20 02:50:00,2026-08-20 03:20:00,LONG,2026-08-20 03:25:00,1.0926,1.0864,1.0988,1.1027,2026-08-20 05:06:00,1.1027,GRID_B_FULL_TP,1.169,1.309,False,False
XRP/USDT,2026-08-27 10:25:00,2026-08-27 11:05:00,LONG,2026-08-27 11:28:00,1.4244,1.4157,1.4331,1.4385,2026-08-27 12:36:00,1.4255,BE_STOP,0.37,0.5,True,False
XRP/USDT,2026-08-29 00:05:00,2026-08-29 00:35:00,SHORT,2026-08-29 01:52:00,1.3862,1.3914,1.3811,1.378,2026-08-29 04:52:00,1.3851,BE_STOP,0.284,0.5,False,False
XRP/USDT,2026-08-31 08:40:00,2026-08-31 09:55:00,SHORT,2026-08-31 10:13:00,1.3739,1.3819,1.3658,1.3609,2026-08-31 10:52:00,1.3819,INITIAL_STOP,-1.137,0.0,True,False
XRP/USDT,2026-09-02 13:40:00,2026-09-02 14:35:00,SHORT,2026-09-02 14:42:00,1.3391,1.3487,1.3294,1.3234,2026-09-02 15:34:00,1.338,BE_STOP,0.389,0.5,True,False
XRP/USDT,2026-09-08 19:45:00,2026-09-08 21:05:00,LONG,2026-09-08 21:51:00,1.4165,1.4112,1.4219,1.4252,2026-09-08 22:44:00,1.4177,BE_STOP,0.289,0.5,True,False
XRP/USDT,2026-09-09 15:05:00,2026-09-09 15:35:00,LONG,2026-09-09 16:10:00,1.4152,1.4036,1.4269,1.4341,2026-09-09 19:50:00,1.4036,INITIAL_STOP,-1.097,0.0,False,False
