symbol,sweep_time,confirm_time,dir,fill_time,fill_price,stop,target_tp1,target_tp2,exit_time,exit_price,outcome,R,banked_r,is_asian_sweep,has_smt
YDEX,2025-09-19 09:05:00,2025-09-19 09:40:00,SHORT,2025-09-19 09:58:00,4123.75,4144.6856,4071.4109,4068.9405,2025-09-19 11:59:00,4144.6856,INITIAL_STOP,-1.217,0.0,True,False
YDEX,2025-10-22 08:40:00,2025-10-22 09:20:00,SHORT,2025-10-22 09:31:00,3989.25,4008.9839,3939.9153,3937.5867,2025-10-22 09:57:00,4008.9839,INITIAL_STOP,-1.222,0.0,True,False
YDEX,2025-11-01 11:15:00,2025-11-01 12:20:00,LONG,2025-11-01 13:16:00,3996.0,3982.006,4030.985,4032.6363,2025-11-01 23:00:00,4032.6363,GRID_B_FULL_TP,2.245,2.559,False,False
YDEX,2025-11-18 10:35:00,2025-11-18 11:25:00,LONG,2025-11-18 11:32:00,3955.75,3938.0664,3999.9591,4002.0457,2025-11-18 12:27:00,3938.0664,INITIAL_STOP,-1.246,0.0,True,False
YDEX,2025-11-25 11:10:00,2025-11-25 12:15:00,SHORT,2025-11-25 12:28:00,4113.25,4141.6699,4042.2003,4038.8468,2025-11-25 12:44:00,4141.6699,INITIAL_STOP,-1.159,0.0,False,False
YDEX,2025-12-19 10:30:00,2025-12-19 11:10:00,LONG,2025-12-19 11:29:00,4466.75,4410.2999,4607.8753,4614.5364,2025-12-19 13:50:00,4410.2999,INITIAL_STOP,-1.087,0.0,True,False
YDEX,2026-02-16 08:35:00,2026-02-16 09:05:00,LONG,2026-02-16 10:25:00,4858.75,4830.2119,4930.0953,4933.4628,2026-02-17 08:06:00,4830.2119,INITIAL_STOP,-1.187,0.0,True,False
YDEX,2026-02-17 08:05:00,2026-02-17 08:35:00,LONG,2026-02-17 09:26:00,4823.25,4785.2651,4918.2122,4922.6944,2026-02-17 13:49:00,4785.2651,INITIAL_STOP,-1.14,0.0,True,False
YDEX,2026-03-02 09:45:00,2026-03-02 10:10:00,SHORT,2026-03-02 10:51:00,4726.75,4748.5901,4672.1497,4669.5726,2026-03-02 11:06:00,4748.5901,INITIAL_STOP,-1.238,0.0,True,False
YDEX,2026-03-25 08:55:00,2026-03-25 09:15:00,SHORT,2026-03-25 09:28:00,4320.75,4340.4811,4271.4222,4269.0939,2026-03-25 10:56:00,4340.4811,INITIAL_STOP,-1.241,0.0,True,False
YDEX,2026-04-10 09:20:00,2026-04-10 09:45:00,SHORT,2026-04-10 10:09:00,4178.0,4195.767,4133.5825,4131.486,2026-04-10 11:03:00,4195.767,INITIAL_STOP,-1.259,0.0,True,False
YDEX,2026-04-21 09:55:00,2026-04-21 11:15:00,LONG,2026-04-21 11:22:00,4312.0,4283.532,4383.17,4386.5292,2026-04-23 05:16:00,4386.5292,GRID_B_FULL_TP,2.392,2.559,False,False
YDEX,2026-04-21 10:45:00,2026-04-21 11:15:00,LONG,2026-04-21 11:22:00,4312.0,4283.532,4383.17,4386.5292,2026-04-23 05:16:00,4386.5292,GRID_B_FULL_TP,2.392,2.559,True,False
YDEX,2026-06-01 10:10:00,2026-06-01 11:05:00,LONG,2026-06-01 11:13:00,4022.75,4007.9659,4059.7103,4061.4548,2026-06-01 11:54:00,4007.9659,INITIAL_STOP,-1.299,0.0,True,False
YDEX,2026-07-03 11:45:00,2026-07-03 12:10:00,SHORT,2026-07-03 12:17:00,3491.75,3527.7376,3401.7809,3397.5344,2026-07-06 11:06:00,3487.9091,BE_STOP,1.143,1.25,False,False
YDEX,2026-07-06 11:00:00,2026-07-06 11:15:00,SHORT,2026-07-06 11:28:00,3476.5,3498.2148,3422.2131,3419.6508,2026-07-06 13:32:00,3419.6508,GRID_B_FULL_TP,2.383,2.559,True,False
YDEX,2026-07-07 09:25:00,2026-07-07 09:50:00,SHORT,2026-07-07 09:57:00,3449.5,3480.6742,3371.5644,3367.8858,2026-07-07 15:00:00,3480.6742,INITIAL_STOP,-1.122,0.0,True,False
YDEX,2026-07-07 09:30:00,2026-07-07 09:50:00,SHORT,2026-07-07 09:57:00,3449.5,3480.6743,3371.5644,3367.8858,2026-07-07 15:00:00,3480.6743,INITIAL_STOP,-1.122,0.0,True,False
YDEX,2026-07-18 08:25:00,2026-07-18 09:10:00,SHORT,2026-07-18 10:45:00,3250.75,3275.8761,3187.9347,3184.9698,2026-07-19 09:20:00,3275.8761,INITIAL_STOP,-1.142,0.0,True,False
YDEX,2026-07-20 10:30:00,2026-07-20 11:15:00,LONG,2026-07-20 11:26:00,3304.0,3284.044,3353.89,3356.2448,2026-07-20 12:00:00,3356.2448,GRID_B_FULL_TP,2.377,2.559,False,False
YDEX,2026-07-24 10:30:00,2026-07-24 11:20:00,SHORT,2026-07-24 11:27:00,3630.0,3712.445,3423.8875,3414.159,2026-07-24 13:18:00,3712.445,INITIAL_STOP,-1.048,0.0,True,False
