Market,Symbol,Timeframes,Trades,Wins,Losses,Winrate_%,Net_R,Profit_Factor,Max_DD_R,Avg_Trade_R
CRYPTO,SOL/USDT,4H/15M,17,15,2,88.2,12.59,6.15,1.34,0.74
CRYPTO,BNB/USDT,4H/15M,15,12,3,80.0,6.96,2.86,2.5,0.46
CRYPTO,DOGE/USDT,4H/15M,13,11,2,84.6,10.12,5.04,1.33,0.78
CRYPTO,ADA/USDT,4H/15M,9,7,2,77.8,4.72,3.03,1.22,0.53
CRYPTO,XRP/USDT,4H/15M,12,9,3,75.0,2.94,1.89,1.95,0.24
MOEX,SBER,1H/5M,29,11,18,37.9,-1.34,0.94,7.37,-0.05
MOEX,GAZP,1H/5M,24,8,16,33.3,-2.0,0.9,7.8,-0.08
MOEX,LKOH,1H/5M,34,16,18,47.1,12.04,1.57,4.63,0.35
MOEX,ROSN,1H/5M,24,14,10,58.3,18.77,2.52,2.55,0.78
MOEX,YDEX,1H/5M,34,16,18,47.1,8.69,1.41,4.89,0.26
TOTAL_CRYPTO,CRYPTO_BASKET (5),4H/15M,66,54,12,81.8,37.32,3.61,3.68,0.56
TOTAL_MOEX,MOEX_BASKET (5),1H/5M,145,65,80,44.8,36.16,1.37,14.03,0.25
PORTFOLIO,HYBRID_COMBINED (10),HYBRID,211,119,92,56.4,73.48,1.66,15.85,0.35
