Preset,Market,Symbol,Span,Trades,Winrate,Net_R,Profit_Factor,Max_DD_R,Recovery_Ratio
POSITIVE_PROVEN_KZ,CRYPTO,SOL/USDT,2025-09-14 -> 2026-09-11,15,40.0,-5.44,0.52,7.39,0.0
POSITIVE_PROVEN_KZ,CRYPTO,BNB/USDT,2025-09-14 -> 2026-09-11,8,75.0,2.63,1.99,1.45,1.81
POSITIVE_PROVEN_KZ,CRYPTO,DOGE/USDT,2025-09-14 -> 2026-09-11,11,27.3,-7.84,0.17,6.56,0.0
POSITIVE_PROVEN_KZ,CRYPTO,ADA/USDT,2025-09-14 -> 2026-09-11,16,37.5,-7.49,0.39,8.85,0.0
POSITIVE_PROVEN_KZ,CRYPTO,XRP/USDT,2025-09-14 -> 2026-09-11,18,72.2,1.05,1.16,2.54,0.41
POSITIVE_PROVEN_KZ,MOEX,SBER,2025-09-14 -> 2026-09-11,7,57.1,5.33,2.36,2.68,1.99
POSITIVE_PROVEN_KZ,MOEX,GAZP,2025-09-14 -> 2026-09-11,7,42.9,2.25,1.45,4.99,0.45
POSITIVE_PROVEN_KZ,MOEX,LKOH,2025-09-14 -> 2026-09-11,14,14.3,-9.42,0.34,10.67,0.0
POSITIVE_PROVEN_KZ,MOEX,ROSN,2025-09-14 -> 2026-09-11,5,20.0,-2.54,0.47,3.62,0.0
POSITIVE_PROVEN_KZ,MOEX,YDEX,2025-09-14 -> 2026-09-11,11,9.1,-9.5,0.2,8.28,0.0
POSITIVE_KZ_PLUS_CHOCH,CRYPTO,SOL/USDT,2025-09-14 -> 2026-09-11,7,71.4,3.14,2.23,2.56,1.23
POSITIVE_KZ_PLUS_CHOCH,CRYPTO,BNB/USDT,2025-09-14 -> 2026-09-11,1,100.0,0.92,99.9,0.0,1.84
POSITIVE_KZ_PLUS_CHOCH,CRYPTO,DOGE/USDT,2025-09-14 -> 2026-09-11,1,100.0,1.11,99.9,0.0,2.22
POSITIVE_KZ_PLUS_CHOCH,CRYPTO,ADA/USDT,2025-09-14 -> 2026-09-11,5,40.0,-1.16,0.67,2.35,0.0
POSITIVE_KZ_PLUS_CHOCH,CRYPTO,XRP/USDT,2025-09-14 -> 2026-09-11,6,100.0,2.46,99.9,0.0,4.91
POSITIVE_KZ_PLUS_CHOCH,MOEX,SBER,2025-09-14 -> 2026-09-11,3,66.7,3.36,3.63,0.0,6.72
POSITIVE_KZ_PLUS_CHOCH,MOEX,GAZP,2025-09-14 -> 2026-09-11,4,0.0,-4.99,0.0,3.7,0.0
POSITIVE_KZ_PLUS_CHOCH,MOEX,LKOH,2025-09-14 -> 2026-09-11,6,0.0,-6.86,0.0,5.75,0.0
POSITIVE_KZ_PLUS_CHOCH,MOEX,ROSN,2025-09-14 -> 2026-09-11,2,50.0,1.03,1.85,1.21,0.85
POSITIVE_KZ_PLUS_CHOCH,MOEX,YDEX,2025-09-14 -> 2026-09-11,5,20.0,-2.13,0.53,3.39,0.0
