Preset,Market,Symbol,Span,Trades,Winrate,Net_R,Profit_Factor,Max_DD_R,Recovery_Ratio
PROVEN_CUSTOM_MSS,CRYPTO,SOL/USDT,2025-09-14 -> 2026-09-11,75,53.3,-15.85,0.64,16.99,0.0
PROVEN_CUSTOM_MSS,CRYPTO,BNB/USDT,2025-09-14 -> 2026-09-11,68,50.0,-15.79,0.63,19.45,0.0
PROVEN_CUSTOM_MSS,CRYPTO,DOGE/USDT,2025-09-14 -> 2026-09-11,77,44.2,-30.83,0.41,29.66,0.0
PROVEN_CUSTOM_MSS,CRYPTO,ADA/USDT,2025-09-14 -> 2026-09-11,73,47.9,-21.24,0.55,24.74,0.0
PROVEN_CUSTOM_MSS,CRYPTO,XRP/USDT,2025-09-14 -> 2026-09-11,94,62.8,-9.02,0.8,16.79,0.0
PROVEN_CUSTOM_MSS,MOEX,SBER,2025-09-14 -> 2026-09-11,59,37.3,-3.12,0.93,16.81,0.0
PROVEN_CUSTOM_MSS,MOEX,GAZP,2025-09-14 -> 2026-09-11,51,35.3,0.63,1.02,17.99,0.04
PROVEN_CUSTOM_MSS,MOEX,LKOH,2025-09-14 -> 2026-09-11,91,35.2,-0.87,0.99,20.21,0.0
PROVEN_CUSTOM_MSS,MOEX,ROSN,2025-09-14 -> 2026-09-11,61,36.1,1.18,1.02,12.21,0.1
PROVEN_CUSTOM_MSS,MOEX,YDEX,2025-09-14 -> 2026-09-11,80,30.0,-22.72,0.67,22.07,0.0
SMC_STRICT_CHOCH,CRYPTO,SOL/USDT,2025-09-14 -> 2026-09-11,30,76.7,8.0,1.91,4.9,1.63
SMC_STRICT_CHOCH,CRYPTO,BNB/USDT,2025-09-14 -> 2026-09-11,17,70.6,2.09,1.37,3.0,0.7
SMC_STRICT_CHOCH,CRYPTO,DOGE/USDT,2025-09-14 -> 2026-09-11,23,69.6,1.41,1.15,2.9,0.49
SMC_STRICT_CHOCH,CRYPTO,ADA/USDT,2025-09-14 -> 2026-09-11,31,67.7,3.64,1.31,5.62,0.65
SMC_STRICT_CHOCH,CRYPTO,XRP/USDT,2025-09-14 -> 2026-09-11,29,72.4,2.39,1.26,5.31,0.45
SMC_STRICT_CHOCH,MOEX,SBER,2025-09-14 -> 2026-09-11,29,37.9,-1.34,0.94,7.37,0.0
SMC_STRICT_CHOCH,MOEX,GAZP,2025-09-14 -> 2026-09-11,24,33.3,-2.0,0.9,7.8,0.0
SMC_STRICT_CHOCH,MOEX,LKOH,2025-09-14 -> 2026-09-11,34,47.1,12.04,1.57,4.63,2.6
SMC_STRICT_CHOCH,MOEX,ROSN,2025-09-14 -> 2026-09-11,24,58.3,18.77,2.52,2.55,7.36
SMC_STRICT_CHOCH,MOEX,YDEX,2025-09-14 -> 2026-09-11,34,47.1,8.69,1.41,4.89,1.78
