Market,Symbol,Span,Trades,Winrate,Net_R,Profit_Factor,Max_DD_R,Recovery_Ratio
CRYPTO,SOL/USDT,2024-06-11 -> 2026-09-11,77,74.0,24.15,2.02,4.5,5.36
CRYPTO,BNB/USDT,2024-06-11 -> 2026-09-11,45,66.7,1.72,1.09,3.98,0.43
CRYPTO,DOGE/USDT,2024-06-11 -> 2026-09-11,39,69.2,6.68,1.48,2.36,2.83
CRYPTO,ADA/USDT,2024-06-11 -> 2026-09-11,61,63.9,2.94,1.12,8.79,0.33
CRYPTO,XRP/USDT,2024-06-11 -> 2026-09-11,53,62.3,3.44,1.14,9.01,0.38
MOEX,SBER,2024-06-11 -> 2026-09-11,50,40.0,4.84,1.13,9.79,0.49
MOEX,GAZP,2024-06-11 -> 2026-09-11,33,54.5,24.78,2.39,3.48,7.11
MOEX,LKOH,2024-06-11 -> 2026-09-11,55,43.6,10.35,1.28,7.17,1.44
MOEX,ROSN,2024-06-11 -> 2026-09-11,45,51.1,24.92,1.96,4.7,5.3
MOEX,YDEX,2024-06-11 -> 2026-09-11,95,40.0,8.45,1.12,12.92,0.65
