symbol,sweep_time,confirm_time,dir,fill_time,fill_price,stop,target_tp1,target_tp2,exit_time,exit_price,outcome,R,banked_r,is_asian_sweep,has_smt,market,timeframe_cascade
SOL/USDT,2025-09-26 23:30:00,2025-09-27 01:30:00,SHORT,2025-09-27 01:51:00,204.23,205.8263,202.6337,201.6471,2025-09-27 07:45:00,201.6471,GRID_B_FULL_TP,1.084,1.309,True,False,CRYPTO,4H/15M
SOL/USDT,2025-10-04 15:15:00,2025-10-04 17:15:00,LONG,2025-10-04 17:43:00,225.85,223.7312,227.9688,229.2782,2025-10-05 02:31:00,229.2782,GRID_B_FULL_TP,1.121,1.309,True,False,CRYPTO,4H/15M
SOL/USDT,2025-10-14 00:15:00,2025-10-14 01:00:00,SHORT,2025-10-14 01:21:00,209.53,211.5643,207.4957,206.2385,2025-10-14 02:19:00,206.2385,GRID_B_FULL_TP,1.128,1.309,False,False,CRYPTO,4H/15M
SOL/USDT,2025-10-15 08:30:00,2025-10-15 10:45:00,SHORT,2025-10-15 11:07:00,204.565,209.2168,199.9132,197.0383,2025-10-15 14:10:00,204.205,BE_STOP,0.423,0.5,True,False,CRYPTO,4H/15M
SOL/USDT,2025-11-06 14:00:00,2025-11-06 14:30:00,SHORT,2025-11-06 14:47:00,158.955,161.7484,156.1616,154.4352,2025-11-06 16:42:00,154.4352,GRID_B_FULL_TP,1.209,1.309,False,False,CRYPTO,4H/15M
SOL/USDT,2025-11-15 17:15:00,2025-11-15 18:30:00,SHORT,2025-11-15 19:08:00,142.885,144.9043,140.8657,139.6177,2025-11-15 21:40:00,139.6177,GRID_B_FULL_TP,1.184,1.309,True,False,CRYPTO,4H/15M
SOL/USDT,2025-12-03 14:00:00,2025-12-03 17:45:00,LONG,2025-12-03 18:17:00,141.37,138.5679,144.1721,145.9037,2025-12-03 21:59:00,145.9037,GRID_B_FULL_TP,1.22,1.309,False,False,CRYPTO,4H/15M
SOL/USDT,2025-12-12 06:00:00,2025-12-12 06:45:00,SHORT,2025-12-12 07:00:00,139.185,140.3288,138.0412,137.3344,2025-12-12 09:29:00,137.3344,GRID_B_FULL_TP,1.095,1.309,True,False,CRYPTO,4H/15M
SOL/USDT,2026-01-05 13:30:00,2026-01-05 15:45:00,LONG,2026-01-05 16:06:00,135.57,132.9766,138.1634,139.766,2026-01-05 20:29:00,139.766,GRID_B_FULL_TP,1.217,1.309,True,False,CRYPTO,4H/15M
SOL/USDT,2026-02-20 00:15:00,2026-02-20 04:15:00,SHORT,2026-02-20 04:40:00,82.955,83.6644,82.2456,81.8071,2026-02-20 05:34:00,83.6644,INITIAL_STOP,-1.206,0.0,False,False,CRYPTO,4H/15M
SOL/USDT,2026-02-20 10:00:00,2026-02-20 11:00:00,SHORT,2026-02-20 11:31:00,84.23,84.9663,83.4937,83.0386,2026-02-20 13:23:00,83.0386,GRID_B_FULL_TP,1.108,1.309,True,False,CRYPTO,4H/15M
SOL/USDT,2026-02-23 09:30:00,2026-02-23 11:45:00,SHORT,2026-02-23 12:08:00,80.22,80.8103,79.6297,79.2648,2026-02-23 12:37:00,80.8103,INITIAL_STOP,-1.239,0.0,False,False,CRYPTO,4H/15M
SOL/USDT,2026-02-25 01:00:00,2026-02-25 03:30:00,SHORT,2026-02-25 04:24:00,82.085,83.1131,81.0569,80.4215,2026-02-25 07:12:00,81.9405,BE_STOP,0.359,0.5,False,False,CRYPTO,4H/15M
SOL/USDT,2026-02-25 01:15:00,2026-02-25 03:30:00,SHORT,2026-02-25 04:24:00,82.085,83.1131,81.0569,80.4215,2026-02-25 07:12:00,81.9405,BE_STOP,0.359,0.5,False,False,CRYPTO,4H/15M
SOL/USDT,2026-04-19 22:00:00,2026-04-20 01:45:00,LONG,2026-04-20 02:01:00,84.265,82.8136,85.7164,86.6134,2026-04-21 14:39:00,86.6134,GRID_B_FULL_TP,1.207,1.309,True,False,CRYPTO,4H/15M
SOL/USDT,2026-06-23 08:15:00,2026-06-23 09:15:00,LONG,2026-06-23 09:41:00,68.815,68.0668,69.5632,70.0256,2026-06-24 01:31:00,70.0256,GRID_B_FULL_TP,1.147,1.309,False,False,CRYPTO,4H/15M
SOL/USDT,2026-08-23 05:15:00,2026-08-23 07:15:00,LONG,2026-08-23 07:31:00,92.6,91.4111,93.7889,94.5236,2026-08-23 11:24:00,94.5236,GRID_B_FULL_TP,1.172,1.309,False,False,CRYPTO,4H/15M
