symbol,sweep_time,confirm_time,dir,fill_time,fill_price,stop,target_tp1,target_tp2,exit_time,exit_price,outcome,R,banked_r,is_asian_sweep,has_smt,preset,market
SOL/USDT,2025-09-15 21:50:00,2025-09-15 22:10:00,SHORT,2025-09-15 22:19:00,234.86,235.7223,233.9977,233.4648,2025-09-15 23:05:00,233.4648,GRID_B_FULL_TP,0.83,1.309,True,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-09-19 09:45:00,2025-09-19 10:40:00,LONG,2025-09-19 10:49:00,242.325,241.3965,243.2535,243.8273,2025-09-19 11:11:00,241.3965,INITIAL_STOP,-1.459,0.0,True,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-09-24 12:00:00,2025-09-24 12:55:00,SHORT,2025-09-24 13:05:00,212.225,213.7183,210.7317,209.8088,2025-09-24 14:26:00,213.7183,INITIAL_STOP,-1.25,0.0,False,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-09-29 10:50:00,2025-09-29 11:20:00,LONG,2025-09-29 12:05:00,206.75,205.7099,207.7901,208.4329,2025-09-29 12:36:00,207.1139,BE_STOP,0.15,0.5,True,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-12 03:05:00,2025-10-12 03:50:00,SHORT,2025-10-12 04:03:00,177.42,178.7661,176.0739,175.242,2025-10-12 04:11:00,178.7661,INITIAL_STOP,-1.232,0.0,False,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-13 11:00:00,2025-10-13 12:10:00,LONG,2025-10-13 12:17:00,192.71,189.7309,195.6891,197.5301,2025-10-13 14:22:00,193.0492,BE_STOP,0.386,0.5,False,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-13 11:25:00,2025-10-13 12:10:00,LONG,2025-10-13 12:17:00,192.71,189.7309,195.6891,197.5301,2025-10-13 14:22:00,193.0492,BE_STOP,0.386,0.5,True,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-14 02:50:00,2025-10-14 03:50:00,LONG,2025-10-14 03:55:00,206.125,204.6508,207.5992,208.5102,2025-10-14 04:08:00,204.6508,INITIAL_STOP,-1.246,0.0,False,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-14 06:15:00,2025-10-14 07:15:00,LONG,2025-10-14 07:21:00,195.915,191.7061,200.1239,202.725,2025-10-14 10:19:00,191.7061,INITIAL_STOP,-1.082,0.0,True,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-14 19:40:00,2025-10-14 20:20:00,LONG,2025-10-14 20:31:00,199.355,196.751,201.959,203.5683,2025-10-15 00:57:00,203.5683,GRID_B_FULL_TP,1.174,1.309,True,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-16 02:05:00,2025-10-16 02:40:00,SHORT,2025-10-16 02:48:00,195.085,196.4826,193.6874,192.8236,2025-10-16 04:45:00,192.8236,GRID_B_FULL_TP,1.063,1.309,False,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-16 10:15:00,2025-10-16 11:25:00,SHORT,2025-10-16 11:40:00,195.6,197.4534,193.7466,192.6012,2025-10-16 12:02:00,197.4534,INITIAL_STOP,-1.186,0.0,True,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-17 16:00:00,2025-10-17 16:55:00,SHORT,2025-10-17 17:00:00,182.49,185.3037,179.6763,177.9374,2025-10-17 18:37:00,185.3037,INITIAL_STOP,-1.114,0.0,True,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-18 06:55:00,2025-10-18 07:20:00,SHORT,2025-10-18 07:27:00,187.625,188.5414,186.7086,186.1422,2025-10-18 07:58:00,186.1422,GRID_B_FULL_TP,0.949,1.309,True,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-21 10:35:00,2025-10-21 11:00:00,SHORT,2025-10-21 11:35:00,186.07,187.0291,185.1109,184.5182,2025-10-21 12:20:00,187.0291,INITIAL_STOP,-1.341,0.0,False,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-21 21:20:00,2025-10-21 21:40:00,LONG,2025-10-21 22:09:00,190.34,187.7145,192.9655,194.5881,2025-10-21 23:16:00,187.7145,INITIAL_STOP,-1.128,0.0,True,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-23 01:10:00,2025-10-23 01:25:00,SHORT,2025-10-23 01:32:00,181.21,182.3218,180.0982,179.4111,2025-10-23 02:35:00,182.3218,INITIAL_STOP,-1.287,0.0,False,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-23 03:25:00,2025-10-23 03:40:00,SHORT,2025-10-23 03:51:00,182.96,183.6744,182.2456,181.804,2025-10-23 04:21:00,183.6744,INITIAL_STOP,-1.451,0.0,False,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-24 11:15:00,2025-10-24 11:55:00,LONG,2025-10-24 13:44:00,191.725,190.2924,193.1576,194.0429,2025-10-24 14:25:00,190.2924,INITIAL_STOP,-1.236,0.0,False,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-24 15:30:00,2025-10-24 16:15:00,LONG,2025-10-24 16:41:00,189.62,188.5456,190.6944,191.3584,2025-10-24 17:04:00,191.3584,GRID_B_FULL_TP,0.998,1.309,True,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-10-30 02:30:00,2025-10-30 03:45:00,SHORT,2025-10-30 03:59:00,197.15,198.4857,195.8143,194.9888,2025-10-30 04:10:00,194.9888,GRID_B_FULL_TP,1.049,1.309,False,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-11-02 23:35:00,2025-11-03 00:25:00,SHORT,2025-11-03 00:40:00,188.245,189.4124,187.0776,186.3562,2025-11-03 01:07:00,186.3562,GRID_B_FULL_TP,1.025,1.309,False,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-11-04 01:20:00,2025-11-04 02:30:00,SHORT,2025-11-04 03:18:00,167.925,168.6719,167.1781,166.7165,2025-11-04 04:20:00,166.7165,GRID_B_FULL_TP,0.913,1.309,False,False,PROVEN_CUSTOM_MSS,crypto
SOL/USDT,2025-11-04 14:40:00,2025-11-04 15:10:00,SHORT,2025-11-04 15:18:00,164.045,165.3261,162.7639,161.9722,2025-11-04 15:52:00,161.9722,GRID_B_FULL_TP,1.084,1.309,False,False,PROVEN_CUSTOM_MSS,crypto
