symbol,sweep_time,confirm_time,dir,fill_time,fill_price,stop,target_tp1,target_tp2,exit_time,exit_price,outcome,R,banked_r,is_asian_sweep,has_smt,market
SOL/USDT,2024-06-15 05:10:00,2024-06-15 05:50:00,SHORT,2024-06-15 06:01:00,145.055,145.7976,144.3124,143.8535,2024-06-15 07:21:00,144.7997,BE_STOP,0.156,0.5,False,False,crypto
SOL/USDT,2024-06-24 12:15:00,2024-06-24 12:40:00,SHORT,2024-06-24 12:56:00,127.89,129.0318,126.7482,126.0425,2024-06-24 13:31:00,127.6649,BE_STOP,0.303,0.5,False,False,crypto
SOL/USDT,2024-06-28 00:35:00,2024-06-28 01:10:00,LONG,2024-06-28 02:16:00,147.67,146.9385,148.4015,148.8536,2024-06-28 02:24:00,147.9299,BE_STOP,0.145,0.5,False,False,crypto
SOL/USDT,2024-07-05 12:20:00,2024-07-05 13:00:00,SHORT,2024-07-05 13:06:00,129.32,133.194,125.446,123.0519,2024-07-05 13:39:00,133.194,INITIAL_STOP,-1.059,0.0,True,False,crypto
SOL/USDT,2024-07-16 14:05:00,2024-07-16 14:15:00,LONG,2024-07-16 14:22:00,155.42,154.2369,156.6031,157.3343,2024-07-16 15:12:00,157.3343,GRID_B_FULL_TP,1.078,1.309,True,False,crypto
SOL/USDT,2024-08-01 12:15:00,2024-08-01 12:45:00,SHORT,2024-08-01 12:52:00,170.635,171.716,169.554,168.886,2024-08-01 14:06:00,168.886,GRID_B_FULL_TP,1.031,1.309,False,False,crypto
SOL/USDT,2024-08-06 23:15:00,2024-08-07 00:35:00,LONG,2024-08-07 00:44:00,144.155,142.4438,145.8662,146.9238,2024-08-07 01:12:00,142.4438,INITIAL_STOP,-1.148,0.0,True,False,crypto
SOL/USDT,2024-08-09 12:50:00,2024-08-09 13:55:00,LONG,2024-08-09 14:28:00,154.595,152.8881,156.3019,157.3568,2024-08-09 14:32:00,152.8881,INITIAL_STOP,-1.159,0.0,True,False,crypto
SOL/USDT,2024-08-24 21:25:00,2024-08-24 22:20:00,LONG,2024-08-24 22:28:00,158.24,157.0426,159.4374,160.1773,2024-08-24 23:51:00,160.1773,GRID_B_FULL_TP,1.076,1.309,True,False,crypto
SOL/USDT,2024-08-28 20:20:00,2024-08-28 21:05:00,SHORT,2024-08-28 21:13:00,143.78,146.5857,140.9743,139.2404,2024-08-29 11:46:00,146.5857,INITIAL_STOP,-1.09,0.0,True,False,crypto
SOL/USDT,2024-08-30 18:25:00,2024-08-30 19:05:00,SHORT,2024-08-30 19:18:00,136.745,138.1151,135.3749,134.5281,2024-08-30 23:04:00,138.1151,INITIAL_STOP,-1.176,0.0,True,False,crypto
SOL/USDT,2024-09-25 06:30:00,2024-09-25 07:40:00,LONG,2024-09-25 07:46:00,149.735,148.7454,150.7246,151.3362,2024-09-25 12:35:00,149.9985,BE_STOP,0.234,0.5,True,False,crypto
SOL/USDT,2024-10-04 06:20:00,2024-10-04 06:40:00,SHORT,2024-10-04 06:50:00,138.86,139.8683,137.8517,137.2286,2024-10-04 08:09:00,139.8683,INITIAL_STOP,-1.242,0.0,True,False,crypto
SOL/USDT,2024-11-03 21:00:00,2024-11-03 21:35:00,SHORT,2024-11-03 21:42:00,163.385,164.0751,162.6949,162.2685,2024-11-03 22:58:00,163.0974,BE_STOP,0.083,0.5,False,False,crypto
SOL/USDT,2024-11-12 00:20:00,2024-11-12 00:50:00,LONG,2024-11-12 01:02:00,219.24,214.6711,223.8089,226.6324,2024-11-12 09:13:00,219.6259,BE_STOP,0.416,0.5,False,False,crypto
SOL/USDT,2024-11-12 05:35:00,2024-11-12 06:05:00,LONG,2024-11-12 06:18:00,217.98,215.693,220.267,221.6803,2024-11-12 07:58:00,221.6803,GRID_B_FULL_TP,1.141,1.309,False,False,crypto
