Asian,Min_Risk,Grid,Trades,Winrate,Total_R,Profit_Factor,Max_DD_R,Avg_R,Recovery_Ratio
Asian_ON,0.15%,Grid_A (2-st: 1.2R/50%+BE -> 2.0R/50%),321,70.4,123.17,2.16,6.71,0.384,18.34
Asian_ON,0.15%,Grid_B (2-st Fib: 1.0R/50%+BE -> 1.618R/50%),321,75.1,119.32,2.34,4.38,0.372,27.25
Asian_ON,0.15%,Grid_C (3-st Fib: 1.0R/33%+BE -> 1.618R/33% -> 2.618R/34%),321,72.9,125.06,2.39,5.44,0.39,22.99
Asian_ON,0.15%,Grid_D (3-st Scalp: 1.0R/50%+BE -> 1.5R/30% -> 2.5R/20%),321,75.1,117.84,2.32,5.31,0.367,22.17
Asian_ON,0.15%,Grid_E (Baseline: 1.5R/50% + Trail 0.8R),321,41.7,-7.93,0.91,12.52,-0.025,-0.63
Asian_ON,0.15%,Grid_F (3-st Runner: 1.0R/33%+BE -> 1.618R/33% -> Trail 34%),321,72.9,34.06,1.38,6.33,0.106,5.38
Asian_ON,0.20%,Grid_A (2-st: 1.2R/50%+BE -> 2.0R/50%),306,69.3,115.45,2.1,7.9,0.377,14.61
Asian_ON,0.20%,Grid_B (2-st Fib: 1.0R/50%+BE -> 1.618R/50%),306,74.2,112.71,2.28,5.27,0.368,21.38
Asian_ON,0.20%,Grid_C (3-st Fib: 1.0R/33%+BE -> 1.618R/33% -> 2.618R/34%),306,73.5,117.08,2.33,6.78,0.383,17.27
Asian_ON,0.20%,Grid_D (3-st Scalp: 1.0R/50%+BE -> 1.5R/30% -> 2.5R/20%),306,74.2,110.97,2.26,6.35,0.363,17.48
Asian_ON,0.20%,Grid_E (Baseline: 1.5R/50% + Trail 0.8R),306,41.2,-6.25,0.92,13.01,-0.02,-0.48
Asian_ON,0.20%,Grid_F (3-st Runner: 1.0R/33%+BE -> 1.618R/33% -> Trail 34%),306,73.5,32.32,1.37,6.78,0.106,4.77
Asian_ON,0.25%,Grid_A (2-st: 1.2R/50%+BE -> 2.0R/50%),287,67.9,99.97,1.98,7.9,0.348,12.65
Asian_ON,0.25%,Grid_B (2-st Fib: 1.0R/50%+BE -> 1.618R/50%),287,73.2,101.61,2.19,5.27,0.354,19.27
Asian_ON,0.25%,Grid_C (3-st Fib: 1.0R/33%+BE -> 1.618R/33% -> 2.618R/34%),287,73.2,102.93,2.21,6.78,0.359,15.19
Asian_ON,0.25%,Grid_D (3-st Scalp: 1.0R/50%+BE -> 1.5R/30% -> 2.5R/20%),287,73.2,99.39,2.17,6.35,0.346,15.65
Asian_ON,0.25%,Grid_E (Baseline: 1.5R/50% + Trail 0.8R),287,40.4,-6.03,0.92,13.18,-0.021,-0.46
Asian_ON,0.25%,Grid_F (3-st Runner: 1.0R/33%+BE -> 1.618R/33% -> Trail 34%),287,73.2,27.95,1.33,6.78,0.097,4.12
Asian_ON,0.30%,Grid_A (2-st: 1.2R/50%+BE -> 2.0R/50%),271,66.8,91.23,1.92,7.9,0.337,11.55
Asian_ON,0.30%,Grid_B (2-st Fib: 1.0R/50%+BE -> 1.618R/50%),271,72.3,93.99,2.14,5.27,0.347,17.82
Asian_ON,0.30%,Grid_C (3-st Fib: 1.0R/33%+BE -> 1.618R/33% -> 2.618R/34%),271,72.3,95.71,2.16,6.78,0.353,14.12
Asian_ON,0.30%,Grid_D (3-st Scalp: 1.0R/50%+BE -> 1.5R/30% -> 2.5R/20%),271,72.3,92.05,2.12,6.35,0.34,14.5
Asian_ON,0.30%,Grid_E (Baseline: 1.5R/50% + Trail 0.8R),271,39.1,-6.87,0.9,14.91,-0.025,-0.46
Asian_ON,0.30%,Grid_F (3-st Runner: 1.0R/33%+BE -> 1.618R/33% -> Trail 34%),271,72.3,25.18,1.31,6.78,0.093,3.72
Asian_OFF,0.15%,Grid_A (2-st: 1.2R/50%+BE -> 2.0R/50%),638,69.3,197.94,1.89,6.88,0.31,28.75
Asian_OFF,0.15%,Grid_B (2-st Fib: 1.0R/50%+BE -> 1.618R/50%),638,73.8,197.11,2.05,7.01,0.309,28.14
Asian_OFF,0.15%,Grid_C (3-st Fib: 1.0R/33%+BE -> 1.618R/33% -> 2.618R/34%),638,70.1,185.09,1.97,8.55,0.29,21.65
Asian_OFF,0.15%,Grid_D (3-st Scalp: 1.0R/50%+BE -> 1.5R/30% -> 2.5R/20%),638,73.8,187.66,2.0,7.18,0.294,26.12
Asian_OFF,0.15%,Grid_E (Baseline: 1.5R/50% + Trail 0.8R),638,39.0,-35.66,0.79,41.38,-0.056,-0.86
Asian_OFF,0.15%,Grid_F (3-st Runner: 1.0R/33%+BE -> 1.618R/33% -> Trail 34%),638,70.1,35.35,1.19,9.44,0.055,3.74
Asian_OFF,0.20%,Grid_A (2-st: 1.2R/50%+BE -> 2.0R/50%),609,68.1,182.01,1.83,6.88,0.299,26.44
