Direction,Window,KZ_Exit,Min_Risk,Grid,Trades,Winrate,Total_R,Profit_Factor,Max_DD_R,Avg_R,Recovery
SHORT,11-15_MSK,Partial80_BE,0.15%,Grid_B,164,67.1,20.59,1.5,7.78,0.126,2.65
SHORT,11-15_MSK,Partial80_BE,0.15%,Grid_A,164,64.6,26.23,1.55,8.62,0.16,3.04
SHORT,11-15_MSK,Partial80_BE,0.15%,Grid_C,164,63.4,19.42,1.46,8.97,0.118,2.17
SHORT,11-15_MSK,Partial80_BE,0.15%,Grid_D,164,67.1,22.21,1.54,7.79,0.135,2.85
SHORT,11-15_MSK,Partial80_BE,0.15%,Grid_E,164,60.4,-5.68,0.9,17.57,-0.035,-0.32
SHORT,11-15_MSK,Partial80_BE,0.20%,Grid_B,153,69.3,22.48,1.63,4.98,0.147,4.51
SHORT,11-15_MSK,Partial80_BE,0.20%,Grid_A,153,65.4,26.93,1.63,5.56,0.176,4.84
SHORT,11-15_MSK,Partial80_BE,0.20%,Grid_C,153,65.4,21.1,1.58,5.94,0.138,3.55
SHORT,11-15_MSK,Partial80_BE,0.20%,Grid_D,153,69.3,24.04,1.67,4.98,0.157,4.83
SHORT,11-15_MSK,Partial80_BE,0.20%,Grid_E,153,60.8,-0.27,0.99,11.91,-0.002,-0.02
SHORT,11-15_MSK,Partial80_BE,0.25%,Grid_B,141,70.2,21.33,1.64,5.72,0.151,3.73
SHORT,11-15_MSK,Partial80_BE,0.25%,Grid_A,141,66.7,26.32,1.68,5.25,0.187,5.01
SHORT,11-15_MSK,Partial80_BE,0.25%,Grid_C,141,67.4,20.17,1.6,6.44,0.143,3.13
SHORT,11-15_MSK,Partial80_BE,0.25%,Grid_D,141,70.2,23.09,1.69,5.4,0.164,4.28
SHORT,11-15_MSK,Partial80_BE,0.25%,Grid_E,141,61.7,1.6,1.03,10.61,0.011,0.15
SHORT,11-15_MSK,Hold,0.15%,Grid_B,164,71.3,18.39,1.34,9.03,0.112,2.04
SHORT,11-15_MSK,Hold,0.15%,Grid_A,164,67.7,25.53,1.39,11.15,0.156,2.29
SHORT,11-15_MSK,Hold,0.15%,Grid_C,164,65.2,13.51,1.25,10.11,0.082,1.34
SHORT,11-15_MSK,Hold,0.15%,Grid_D,164,71.3,20.01,1.37,8.42,0.122,2.38
SHORT,11-15_MSK,Hold,0.15%,Grid_E,164,47.0,-68.48,0.37,72.45,-0.418,-0.95
SHORT,11-15_MSK,Hold,0.20%,Grid_B,153,73.9,20.28,1.42,5.86,0.133,3.46
SHORT,11-15_MSK,Hold,0.20%,Grid_A,153,68.0,25.85,1.43,8.42,0.169,3.07
SHORT,11-15_MSK,Hold,0.20%,Grid_C,153,67.3,15.19,1.31,6.78,0.099,2.24
SHORT,11-15_MSK,Hold,0.20%,Grid_D,153,73.9,21.83,1.45,5.29,0.143,4.13
SHORT,11-15_MSK,Hold,0.20%,Grid_E,153,46.4,-61.86,0.39,65.83,-0.404,-0.94
SHORT,11-15_MSK,Hold,0.25%,Grid_B,141,73.0,17.83,1.39,6.76,0.126,2.64
SHORT,11-15_MSK,Hold,0.25%,Grid_A,141,67.4,24.86,1.44,7.77,0.176,3.2
SHORT,11-15_MSK,Hold,0.25%,Grid_C,141,68.8,14.32,1.31,7.06,0.102,2.03
SHORT,11-15_MSK,Hold,0.25%,Grid_D,141,73.0,20.54,1.45,5.8,0.146,3.54
SHORT,11-15_MSK,Hold,0.25%,Grid_E,141,45.4,-56.69,0.39,58.65,-0.402,-0.97
SHORT,10-18:45_MSK,Partial80_BE,0.15%,Grid_B,352,69.3,41.48,1.38,14.49,0.118,2.86
SHORT,10-18:45_MSK,Partial80_BE,0.15%,Grid_A,352,65.3,47.94,1.36,18.15,0.136,2.64
SHORT,10-18:45_MSK,Partial80_BE,0.15%,Grid_C,352,62.8,30.96,1.28,16.04,0.088,1.93
SHORT,10-18:45_MSK,Partial80_BE,0.15%,Grid_D,352,69.3,42.09,1.38,15.0,0.12,2.81
SHORT,10-18:45_MSK,Partial80_BE,0.15%,Grid_E,352,52.0,-85.72,0.55,94.15,-0.244,-0.91
SHORT,10-18:45_MSK,Partial80_BE,0.20%,Grid_B,331,71.0,41.49,1.4,11.18,0.125,3.71
SHORT,10-18:45_MSK,Partial80_BE,0.20%,Grid_A,331,65.3,45.2,1.36,15.5,0.137,2.92
SHORT,10-18:45_MSK,Partial80_BE,0.20%,Grid_C,331,64.0,31.43,1.3,12.39,0.095,2.54
SHORT,10-18:45_MSK,Partial80_BE,0.20%,Grid_D,331,71.0,42.46,1.41,11.69,0.128,3.63
SHORT,10-18:45_MSK,Partial80_BE,0.20%,Grid_E,331,52.0,-75.33,0.58,83.76,-0.228,-0.9
SHORT,10-18:45_MSK,Partial80_BE,0.25%,Grid_B,299,70.9,40.93,1.45,6.78,0.137,6.04
SHORT,10-18:45_MSK,Partial80_BE,0.25%,Grid_A,299,65.9,48.41,1.44,10.08,0.162,4.8
SHORT,10-18:45_MSK,Partial80_BE,0.25%,Grid_C,299,66.6,32.08,1.35,7.35,0.107,4.36
SHORT,10-18:45_MSK,Partial80_BE,0.25%,Grid_D,299,70.9,42.4,1.46,7.08,0.142,5.99
SHORT,10-18:45_MSK,Partial80_BE,0.25%,Grid_E,299,51.8,-61.48,0.61,68.33,-0.206,-0.9
SHORT,10-18:45_MSK,Hold,0.15%,Grid_B,352,69.0,29.57,1.23,17.2,0.084,1.72
SHORT,10-18:45_MSK,Hold,0.15%,Grid_A,352,63.6,31.78,1.2,20.27,0.09,1.57
SHORT,10-18:45_MSK,Hold,0.15%,Grid_C,352,61.4,18.49,1.14,18.74,0.053,0.99
SHORT,10-18:45_MSK,Hold,0.15%,Grid_D,352,69.0,30.96,1.25,17.92,0.088,1.73
SHORT,10-18:45_MSK,Hold,0.15%,Grid_E,352,42.3,-181.8,0.29,183.81,-0.516,-0.99
SHORT,10-18:45_MSK,Hold,0.20%,Grid_B,331,70.7,29.93,1.25,13.88,0.09,2.16
SHORT,10-18:45_MSK,Hold,0.20%,Grid_A,331,63.4,28.73,1.19,18.46,0.087,1.56
SHORT,10-18:45_MSK,Hold,0.20%,Grid_C,331,62.5,19.77,1.16,16.38,0.06,1.21
SHORT,10-18:45_MSK,Hold,0.20%,Grid_D,331,70.7,32.06,1.27,14.61,0.097,2.19
SHORT,10-18:45_MSK,Hold,0.20%,Grid_E,331,41.1,-171.4,0.29,173.41,-0.518,-0.99
SHORT,10-18:45_MSK,Hold,0.25%,Grid_B,299,69.9,27.47,1.25,8.22,0.092,3.34
SHORT,10-18:45_MSK,Hold,0.25%,Grid_A,299,63.2,30.5,1.23,12.02,0.102,2.54
SHORT,10-18:45_MSK,Hold,0.25%,Grid_C,299,64.5,20.07,1.18,10.23,0.067,1.96
SHORT,10-18:45_MSK,Hold,0.25%,Grid_D,299,69.9,31.13,1.29,8.94,0.104,3.48
SHORT,10-18:45_MSK,Hold,0.25%,Grid_E,299,40.1,-153.04,0.3,154.2,-0.512,-0.99
ALL,11-15_MSK,Partial80_BE,0.15%,Grid_B,315,63.8,13.39,1.15,16.51,0.043,0.81
ALL,11-15_MSK,Partial80_BE,0.15%,Grid_A,315,60.6,16.17,1.15,18.86,0.051,0.86
ALL,11-15_MSK,Partial80_BE,0.15%,Grid_C,315,59.7,7.95,1.09,17.46,0.025,0.46
ALL,11-15_MSK,Partial80_BE,0.15%,Grid_D,315,63.8,15.3,1.17,16.87,0.049,0.91
ALL,11-15_MSK,Partial80_BE,0.15%,Grid_E,315,54.6,-42.33,0.67,49.65,-0.134,-0.85
ALL,11-15_MSK,Partial80_BE,0.20%,Grid_B,294,65.3,13.62,1.16,15.19,0.046,0.9
ALL,11-15_MSK,Partial80_BE,0.20%,Grid_A,294,60.5,16.2,1.17,16.98,0.055,0.95
ALL,11-15_MSK,Partial80_BE,0.20%,Grid_C,294,60.9,8.47,1.1,15.69,0.029,0.54
ALL,11-15_MSK,Partial80_BE,0.20%,Grid_D,294,65.3,16.0,1.19,15.41,0.054,1.04
ALL,11-15_MSK,Partial80_BE,0.20%,Grid_E,294,54.4,-33.9,0.71,40.97,-0.115,-0.83
ALL,11-15_MSK,Partial80_BE,0.25%,Grid_B,266,66.2,16.29,1.22,9.54,0.061,1.71
ALL,11-15_MSK,Partial80_BE,0.25%,Grid_A,266,61.3,18.48,1.22,11.47,0.069,1.61
ALL,11-15_MSK,Partial80_BE,0.25%,Grid_C,266,63.9,11.6,1.15,10.38,0.044,1.12
ALL,11-15_MSK,Partial80_BE,0.25%,Grid_D,266,66.2,18.72,1.25,9.76,0.07,1.92
ALL,11-15_MSK,Partial80_BE,0.25%,Grid_E,266,56.0,-24.54,0.76,33.15,-0.092,-0.74
ALL,11-15_MSK,Hold,0.15%,Grid_B,315,69.8,17.47,1.16,19.01,0.055,0.92
ALL,11-15_MSK,Hold,0.15%,Grid_A,315,64.8,22.23,1.16,21.75,0.071,1.02
ALL,11-15_MSK,Hold,0.15%,Grid_C,315,61.9,5.77,1.05,20.54,0.018,0.28
ALL,11-15_MSK,Hold,0.15%,Grid_D,315,69.8,19.21,1.17,19.66,0.061,0.98
ALL,11-15_MSK,Hold,0.15%,Grid_E,315,41.6,-168.43,0.28,169.76,-0.535,-0.99
ALL,11-15_MSK,Hold,0.20%,Grid_B,294,71.8,18.79,1.18,18.27,0.064,1.03
ALL,11-15_MSK,Hold,0.20%,Grid_A,294,64.6,22.83,1.18,21.31,0.078,1.07
ALL,11-15_MSK,Hold,0.20%,Grid_C,294,63.3,7.84,1.07,20.02,0.027,0.39
ALL,11-15_MSK,Hold,0.20%,Grid_D,294,71.8,21.26,1.21,19.06,0.072,1.12
ALL,11-15_MSK,Hold,0.20%,Grid_E,294,41.2,-153.32,0.29,154.66,-0.522,-0.99
ALL,11-15_MSK,Hold,0.25%,Grid_B,266,71.1,19.19,1.2,11.56,0.072,1.66
ALL,11-15_MSK,Hold,0.25%,Grid_A,266,63.9,24.51,1.21,14.56,0.092,1.68
ALL,11-15_MSK,Hold,0.25%,Grid_C,266,66.5,10.89,1.11,13.6,0.041,0.8
ALL,11-15_MSK,Hold,0.25%,Grid_D,266,71.1,22.89,1.24,12.11,0.086,1.89
ALL,11-15_MSK,Hold,0.25%,Grid_E,266,41.4,-131.9,0.31,132.63,-0.496,-0.99
ALL,10-18:45_MSK,Partial80_BE,0.15%,Grid_B,732,67.3,50.12,1.21,28.91,0.068,1.73
ALL,10-18:45_MSK,Partial80_BE,0.15%,Grid_A,732,62.7,45.34,1.15,30.85,0.062,1.47
ALL,10-18:45_MSK,Partial80_BE,0.15%,Grid_C,732,60.1,23.18,1.09,32.14,0.032,0.72
ALL,10-18:45_MSK,Partial80_BE,0.15%,Grid_D,732,67.3,48.2,1.2,29.49,0.066,1.63
ALL,10-18:45_MSK,Partial80_BE,0.15%,Grid_E,732,49.2,-221.81,0.47,227.36,-0.303,-0.98
ALL,10-18:45_MSK,Partial80_BE,0.20%,Grid_B,683,69.0,48.9,1.22,22.65,0.072,2.16
