symbol,trades,wins,losses,winrate,total_r,max_dd_r,profit_factor,avg_r,recovery_ratio,score,passed,fail_reason,min_notional
XRP/USDT,8,7,1,87.5,1.45,1.16,2.25,0.181,1.25,4.92,True,OK,5.0
SOL/USDT,21,15,6,71.4,6.16,3.69,1.87,0.293,1.67,4.46,False,Мин. лот $10.17 > $6.5,10.17
BNB/USDT,17,10,7,58.8,-0.8,4.59,0.89,-0.047,0.0,0.0,False,"WR 58.8% < 60%, PF 0.89 < 1.6, Убыток (-0.8R), Мин. лот $7.26 > $6.5",7.26
DOT/USDT,49,28,21,57.1,-3.22,12.44,0.87,-0.066,0.0,0.0,False,"WR 57.1% < 60%, PF 0.87 < 1.6, DD 12.4R > 5.5R, Убыток (-3.2R)",5.0
ADA/USDT,36,19,17,52.8,-3.48,8.15,0.83,-0.097,0.0,0.0,False,"WR 52.8% < 60%, PF 0.83 < 1.6, DD 8.2R > 5.5R, Убыток (-3.5R)",5.0
DOGE/USDT,16,7,9,43.8,-5.87,6.38,0.45,-0.367,0.0,0.0,False,"WR 43.8% < 60%, PF 0.45 < 1.6, DD 6.4R > 5.5R, Убыток (-5.9R)",5.0
SUI/USDT,36,18,18,50.0,-7.14,9.09,0.67,-0.198,0.0,0.0,False,"WR 50.0% < 60%, PF 0.67 < 1.6, DD 9.1R > 5.5R, Убыток (-7.1R)",5.0
TRX/USDT,14,6,8,42.9,-7.38,7.12,0.3,-0.527,0.0,0.0,False,"WR 42.9% < 60%, PF 0.30 < 1.6, DD 7.1R > 5.5R, Убыток (-7.4R)",5.0
AVAX/USDT,46,22,24,47.8,-7.48,18.75,0.74,-0.163,0.0,0.0,False,"WR 47.8% < 60%, PF 0.74 < 1.6, DD 18.8R > 5.5R, Убыток (-7.5R)",5.0
NEAR/USDT,58,31,27,53.4,-7.7,11.44,0.75,-0.133,0.0,0.0,False,"WR 53.4% < 60%, PF 0.75 < 1.6, DD 11.4R > 5.5R, Убыток (-7.7R)",5.0
APT/USDT,82,45,37,54.9,-9.37,15.5,0.79,-0.114,0.0,0.0,False,"WR 54.9% < 60%, PF 0.79 < 1.6, DD 15.5R > 5.5R, Убыток (-9.4R)",5.0
