symbol,trades,wins,losses,winrate,total_r,max_dd_r,profit_factor,avg_r,recovery_ratio,score,passed,fail_reason,min_notional
NVTK,9,6,3,66.7,3.19,1.17,1.96,0.354,2.73,7.14,True,OK,0.0
GAZP,8,6,2,75.0,2.63,1.79,2.18,0.329,1.47,4.81,True,OK,0.0
SBER,5,5,0,100.0,5.15,0.0,99.9,1.031,10.3,61.8,False,Мало сделок (5<8),0.0
ROSN,7,5,2,71.4,1.26,1.24,1.54,0.18,1.02,2.24,False,"Мало сделок (7<8), PF 1.54 < 1.6",0.0
TATN,1,1,0,100.0,1.21,0.0,99.9,1.208,2.42,14.52,False,Мало сделок (1<8),0.0
CHMF,9,5,4,55.6,0.83,3.14,1.19,0.092,0.26,0.34,False,"WR 55.6% < 60%, PF 1.19 < 1.6",0.0
ALRS,6,3,3,50.0,-1.25,3.36,0.63,-0.209,0.0,0.0,False,"Мало сделок (6<8), WR 50.0% < 60%, PF 0.63 < 1.6, Убыток (-1.2R)",0.0
YDEX,8,4,4,50.0,-1.88,2.15,0.56,-0.235,0.0,0.0,False,"WR 50.0% < 60%, PF 0.56 < 1.6, Убыток (-1.9R)",0.0
MOEX,5,1,4,20.0,-1.92,1.05,0.4,-0.383,0.0,0.0,False,"Мало сделок (5<8), WR 20.0% < 60%, PF 0.40 < 1.6, Убыток (-1.9R)",0.0
GMKN,2,0,2,0.0,-2.27,1.17,0.0,-1.136,0.0,0.0,False,"Мало сделок (2<8), WR 0.0% < 60%, PF 0.00 < 1.6, Убыток (-2.3R)",0.0
PLZL,5,1,4,20.0,-3.0,2.16,0.3,-0.6,0.0,0.0,False,"Мало сделок (5<8), WR 20.0% < 60%, PF 0.30 < 1.6, Убыток (-3.0R)",0.0
LKOH,15,6,9,40.0,-4.21,7.32,0.58,-0.281,0.0,0.0,False,"WR 40.0% < 60%, PF 0.58 < 1.6, DD 7.3R > 5.5R, Убыток (-4.2R)",0.0
