cal_month,month_name,r_2024,r_2025,r_2026,avg_net_r,winrate,trades,trend
1,Январь,,-20.432999999999996,-11.874999999999998,-16.154,50.34013605442177,147,🛑 Токсичный распил
2,Февраль,,-20.3,5.5409999999999995,-7.3795,53.403141361256544,191,🛑 Токсичный распил
3,Март,,-20.073,-16.241999999999997,-18.1575,53.55648535564853,239,🛑 Токсичный распил
4,Апрель,,-14.573,-51.63900000000001,-33.106,44.49760765550239,209,🛑 Токсичный распил
5,Май,,-11.02,-27.087999999999997,-19.054000000000002,50.82872928176796,181,🛑 Токсичный распил
6,Июнь,-2.042999999999999,-21.217999999999996,-2.3790000000000004,-8.546666666666667,51.707317073170735,205,🛑 Токсичный распил
7,Июль,-29.665,-20.619,-5.147,-18.477,47.389558232931726,249,🛑 Токсичный распил
8,Август,-3.519,-7.9140000000000015,-8.761999999999999,-6.7316666666666665,53.28185328185329,259,🛑 Токсичный распил
9,Сентябрь,-23.945,-21.331,-17.647999999999996,-20.974666666666664,47.53363228699551,223,🛑 Токсичный распил
10,Октябрь,5.1789999999999985,-28.693,,-11.756999999999998,51.886792452830186,212,🛑 Токсичный распил
11,Ноябрь,8.894000000000002,-13.135000000000002,,-2.1205,56.25,208,⚠️ Легкая просадка
12,Декабрь,-19.981999999999996,-22.259000000000004,,-21.1205,46.96132596685083,181,🛑 Токсичный распил
