symbol,is_moex,month,year,cal_month,quarter,trades,wins,losses,winrate,total_r,profit_factor,max_dd_r,avg_r
SOL/USDT,False,2024-06,2024,6,Q2,12,8,4,66.7,2.54,1.51,1.34,0.212
SOL/USDT,False,2024-07,2024,7,Q3,19,8,11,42.1,-5.93,0.52,9.04,-0.312
SOL/USDT,False,2024-08,2024,8,Q3,18,8,10,44.4,-4.24,0.63,9.87,-0.236
SOL/USDT,False,2024-09,2024,9,Q3,15,6,9,40.0,-6.53,0.4,5.38,-0.435
SOL/USDT,False,2024-10,2024,10,Q4,20,11,9,55.0,-0.09,0.99,2.59,-0.005
SOL/USDT,False,2024-11,2024,11,Q4,23,18,5,78.3,9.42,2.58,1.4,0.41
SOL/USDT,False,2024-12,2024,12,Q4,18,8,10,44.4,-3.49,0.7,4.64,-0.194
SOL/USDT,False,2025-01,2025,1,Q1,13,4,9,30.8,-7.39,0.31,8.49,-0.568
SOL/USDT,False,2025-02,2025,2,Q1,17,9,8,52.9,-0.71,0.92,3.21,-0.042
SOL/USDT,False,2025-03,2025,3,Q1,22,9,13,40.9,-7.36,0.54,13.41,-0.334
SOL/USDT,False,2025-04,2025,4,Q2,20,11,9,55.0,0.58,1.06,3.44,0.029
SOL/USDT,False,2025-05,2025,5,Q2,18,5,13,27.8,-11.61,0.26,10.73,-0.645
SOL/USDT,False,2025-06,2025,6,Q2,21,9,12,42.9,-6.8,0.53,9.28,-0.324
SOL/USDT,False,2025-07,2025,7,Q3,21,5,16,23.8,-13.54,0.29,13.26,-0.645
SOL/USDT,False,2025-08,2025,8,Q3,32,20,12,62.5,3.82,1.27,3.02,0.12
SOL/USDT,False,2025-09,2025,9,Q3,12,5,7,41.7,-6.51,0.3,5.36,-0.542
SOL/USDT,False,2025-10,2025,10,Q4,22,10,12,45.5,-5.81,0.59,10.7,-0.264
SOL/USDT,False,2025-11,2025,11,Q4,24,10,14,41.7,-6.6,0.59,9.18,-0.275
SOL/USDT,False,2025-12,2025,12,Q4,12,5,7,41.7,-3.7,0.57,5.08,-0.308
SOL/USDT,False,2026-01,2026,1,Q1,21,11,10,52.4,-5.19,0.57,8.59,-0.247
SOL/USDT,False,2026-02,2026,2,Q1,10,6,4,60.0,2.46,1.53,3.57,0.246
SOL/USDT,False,2026-03,2026,3,Q1,26,12,14,46.2,-7.22,0.56,7.42,-0.278
SOL/USDT,False,2026-04,2026,4,Q2,19,9,10,47.4,-6.54,0.44,5.9,-0.344
SOL/USDT,False,2026-05,2026,5,Q2,15,8,7,53.3,-2.92,0.65,5.4,-0.195
SOL/USDT,False,2026-06,2026,6,Q2,15,10,5,66.7,4.5,1.79,2.24,0.3
SOL/USDT,False,2026-07,2026,7,Q3,3,0,3,0.0,-3.66,0.0,2.4,-1.22
SOL/USDT,False,2026-08,2026,8,Q3,12,8,4,66.7,1.97,1.41,2.25,0.164
SOL/USDT,False,2026-09,2026,9,Q3,9,4,5,44.4,-3.17,0.48,5.88,-0.352
BNB/USDT,False,2024-06,2024,6,Q2,9,2,7,22.2,-7.36,0.2,6.96,-0.817
BNB/USDT,False,2024-07,2024,7,Q3,19,10,9,52.6,-5.25,0.54,7.02,-0.276
BNB/USDT,False,2024-08,2024,8,Q3,16,9,7,56.2,0.18,1.02,2.37,0.011
BNB/USDT,False,2024-09,2024,9,Q3,23,13,10,56.5,-3.05,0.75,8.62,-0.133
BNB/USDT,False,2024-10,2024,10,Q4,16,12,4,75.0,2.94,1.58,2.56,0.184
BNB/USDT,False,2024-11,2024,11,Q4,14,6,8,42.9,-6.38,0.35,7.59,-0.455
BNB/USDT,False,2024-12,2024,12,Q4,22,6,16,27.3,-15.89,0.18,14.66,-0.722
BNB/USDT,False,2025-01,2025,1,Q1,13,6,7,46.2,-5.38,0.37,6.25,-0.414
BNB/USDT,False,2025-02,2025,2,Q1,22,3,19,13.6,-18.6,0.16,19.76,-0.846
BNB/USDT,False,2025-03,2025,3,Q1,23,15,8,65.2,-0.31,0.97,8.18,-0.014
BNB/USDT,False,2025-04,2025,4,Q2,13,5,8,38.5,-6.43,0.37,7.86,-0.494
BNB/USDT,False,2025-05,2025,5,Q2,21,15,6,71.4,2.69,1.36,2.17,0.128
BNB/USDT,False,2025-06,2025,6,Q2,6,2,4,33.3,-4.73,0.1,5.04,-0.788
BNB/USDT,False,2025-07,2025,7,Q3,12,7,5,58.3,-0.42,0.93,3.58,-0.035
BNB/USDT,False,2025-08,2025,8,Q3,15,10,5,66.7,2.61,1.42,2.53,0.174
BNB/USDT,False,2025-09,2025,9,Q3,8,3,5,37.5,-3.5,0.4,3.56,-0.437
BNB/USDT,False,2025-10,2025,10,Q4,17,4,13,23.5,-11.23,0.26,10.02,-0.661
BNB/USDT,False,2025-11,2025,11,Q4,11,2,9,18.2,-8.75,0.21,8.75,-0.795
BNB/USDT,False,2025-12,2025,12,Q4,11,6,5,54.5,-3.07,0.52,4.32,-0.279
BNB/USDT,False,2026-01,2026,1,Q1,10,3,7,30.0,-6.38,0.27,7.53,-0.638
BNB/USDT,False,2026-02,2026,2,Q1,17,9,8,52.9,-1.32,0.84,3.34,-0.078
BNB/USDT,False,2026-03,2026,3,Q1,22,9,13,40.9,-10.26,0.36,11.69,-0.466
BNB/USDT,False,2026-04,2026,4,Q2,16,11,5,68.8,3.19,1.49,2.95,0.2
BNB/USDT,False,2026-05,2026,5,Q2,11,6,5,54.5,-3.24,0.47,6.09,-0.294
BNB/USDT,False,2026-06,2026,6,Q2,7,5,2,71.4,1.71,1.7,1.23,0.244
BNB/USDT,False,2026-07,2026,7,Q3,3,0,3,0.0,-3.71,0.0,2.5,-1.235
BNB/USDT,False,2026-08,2026,8,Q3,10,6,4,60.0,-0.86,0.82,2.39,-0.086
BNB/USDT,False,2026-09,2026,9,Q3,6,3,3,50.0,-1.54,0.6,2.65,-0.257
DOGE/USDT,False,2024-06,2024,6,Q2,14,6,8,42.9,-4.25,0.55,5.6,-0.304
DOGE/USDT,False,2024-07,2024,7,Q3,28,8,20,28.6,-16.7,0.27,17.74,-0.596
DOGE/USDT,False,2024-08,2024,8,Q3,20,12,8,60.0,1.07,1.11,3.78,0.054
DOGE/USDT,False,2024-09,2024,9,Q3,20,7,13,35.0,-12.01,0.23,10.91,-0.6
DOGE/USDT,False,2024-10,2024,10,Q4,8,5,3,62.5,0.5,1.14,2.21,0.062
DOGE/USDT,False,2024-11,2024,11,Q4,16,10,6,62.5,2.9,1.45,2.15,0.181
DOGE/USDT,False,2024-12,2024,12,Q4,19,10,9,52.6,-1.08,0.9,4.23,-0.057
DOGE/USDT,False,2025-01,2025,1,Q1,12,3,9,25.0,-8.02,0.26,8.44,-0.669
DOGE/USDT,False,2025-02,2025,2,Q1,15,9,6,60.0,1.77,1.25,4.82,0.118
