cal_month,month_name,r_2024,r_2025,r_2026,avg_net_r,winrate,trades,trend
1,Январь,,-7.202,0.4770000000000003,-3.3625,45.16129032258064,31,⚠️ Легкая просадка
2,Февраль,,-12.459,-4.943,-8.701,46.15384615384615,78,🛑 Токсичный распил
3,Март,,0.6470000000000005,-9.317,-4.335,53.84615384615385,65,⚠️ Легкая просадка
4,Апрель,,-9.216,-6.014,-7.615,44.230769230769226,52,🛑 Токсичный распил
5,Май,,-1.4459999999999988,-3.2849999999999993,-2.3655,58.333333333333336,60,⚠️ Легкая просадка
6,Июнь,0.5340000000000007,-8.864,4.813000000000001,-1.1723333333333334,52.83018867924528,53,⚖️ Около нуля
7,Июль,-6.760999999999999,-10.665000000000001,-0.41199999999999926,-5.945999999999999,42.62295081967213,61,⚠️ Легкая просадка
8,Август,-5.457000000000001,4.406999999999999,-4.784000000000001,-1.9446666666666665,53.65853658536586,82,⚖️ Около нуля
9,Сентябрь,-12.614,-6.1370000000000005,-2.9429999999999996,-7.2313333333333345,45.45454545454545,66,🛑 Токсичный распил
10,Октябрь,1.2970000000000004,-0.7470000000000003,,0.27500000000000013,58.46153846153847,65,⚖️ Около нуля
11,Ноябрь,6.205,-18.067,,-5.931,46.15384615384615,65,⚠️ Легкая просадка
12,Декабрь,-19.051000000000002,-2.6450000000000005,,-10.848,43.07692307692308,65,🛑 Токсичный распил
