symbol,is_moex,month,year,cal_month,quarter,trades,wins,losses,winrate,total_r,profit_factor,max_dd_r,avg_r
SOL/USDT,False,2024-06,2024,6,Q2,5,4,1,80.0,2.63,3.13,1.23,0.526
SOL/USDT,False,2024-07,2024,7,Q3,5,2,3,40.0,-1.65,0.48,1.76,-0.33
SOL/USDT,False,2024-08,2024,8,Q3,10,4,6,40.0,-4.24,0.38,6.86,-0.424
SOL/USDT,False,2024-09,2024,9,Q3,6,3,3,50.0,-1.22,0.66,2.34,-0.203
SOL/USDT,False,2024-10,2024,10,Q4,7,4,3,57.1,-0.63,0.84,2.59,-0.09
SOL/USDT,False,2024-11,2024,11,Q4,8,5,3,62.5,1.73,1.49,1.4,0.216
SOL/USDT,False,2024-12,2024,12,Q4,11,4,7,36.4,-4.4,0.46,4.38,-0.4
SOL/USDT,False,2025-01,2025,1,Q1,4,1,3,25.0,-2.45,0.33,3.65,-0.612
SOL/USDT,False,2025-02,2025,2,Q1,9,4,5,44.4,-2.21,0.59,4.92,-0.245
SOL/USDT,False,2025-03,2025,3,Q1,11,6,5,54.5,1.03,1.18,3.67,0.093
SOL/USDT,False,2025-04,2025,4,Q2,5,3,2,60.0,0.62,1.27,2.29,0.123
SOL/USDT,False,2025-05,2025,5,Q2,6,1,5,16.7,-4.93,0.2,5.0,-0.822
SOL/USDT,False,2025-06,2025,6,Q2,8,2,6,25.0,-4.49,0.34,5.66,-0.561
SOL/USDT,False,2025-07,2025,7,Q3,9,2,7,22.2,-6.25,0.27,6.11,-0.694
SOL/USDT,False,2025-08,2025,8,Q3,13,9,4,69.2,3.7,1.83,2.4,0.284
SOL/USDT,False,2025-09,2025,9,Q3,6,2,4,33.3,-3.34,0.39,2.59,-0.557
SOL/USDT,False,2025-10,2025,10,Q4,12,8,4,66.7,1.49,1.32,2.47,0.124
SOL/USDT,False,2025-11,2025,11,Q4,10,1,9,10.0,-9.2,0.12,8.02,-0.92
SOL/USDT,False,2025-12,2025,12,Q4,4,2,2,50.0,0.11,1.05,1.07,0.028
SOL/USDT,False,2026-01,2026,1,Q1,8,5,3,62.5,0.21,1.06,2.49,0.026
SOL/USDT,False,2026-02,2026,2,Q1,6,5,1,83.3,4.88,5.5,1.08,0.812
SOL/USDT,False,2026-03,2026,3,Q1,6,4,2,66.7,0.41,1.17,1.21,0.068
SOL/USDT,False,2026-04,2026,4,Q2,9,4,5,44.4,-3.76,0.37,5.54,-0.417
SOL/USDT,False,2026-05,2026,5,Q2,6,3,3,50.0,-1.27,0.65,1.29,-0.212
SOL/USDT,False,2026-06,2026,6,Q2,7,5,2,71.4,2.06,1.93,1.14,0.294
SOL/USDT,False,2026-07,2026,7,Q3,0,0,0,0.0,0.0,0.0,0.0,0.0
SOL/USDT,False,2026-08,2026,8,Q3,8,4,4,50.0,-0.86,0.82,2.25,-0.108
SOL/USDT,False,2026-09,2026,9,Q3,2,1,1,50.0,-0.0,1.0,0.0,-0.002
BNB/USDT,False,2024-06,2024,6,Q2,2,0,2,0.0,-2.55,0.0,1.24,-1.276
BNB/USDT,False,2024-07,2024,7,Q3,6,4,2,66.7,-0.61,0.75,2.49,-0.102
BNB/USDT,False,2024-08,2024,8,Q3,9,6,3,66.7,1.78,1.53,2.24,0.198
BNB/USDT,False,2024-09,2024,9,Q3,10,4,6,40.0,-4.8,0.33,4.93,-0.48
BNB/USDT,False,2024-10,2024,10,Q4,6,4,2,66.7,2.11,1.82,2.56,0.352
BNB/USDT,False,2024-11,2024,11,Q4,6,3,3,50.0,-1.73,0.52,1.18,-0.289
BNB/USDT,False,2024-12,2024,12,Q4,13,3,10,23.1,-10.97,0.08,9.73,-0.844
BNB/USDT,False,2025-01,2025,1,Q1,2,1,1,50.0,-0.95,0.17,0.0,-0.477
BNB/USDT,False,2025-02,2025,2,Q1,14,1,13,7.1,-13.94,0.08,13.93,-0.996
BNB/USDT,False,2025-03,2025,3,Q1,8,7,1,87.5,3.76,4.03,1.24,0.469
BNB/USDT,False,2025-04,2025,4,Q2,10,3,7,30.0,-5.69,0.36,6.71,-0.569
BNB/USDT,False,2025-05,2025,5,Q2,16,13,3,81.2,5.11,2.39,2.17,0.319
