symbol,sweep_time,confirm_time,dir,fill_time,fill_price,stop,target_tp1,target_tp2,exit_time,exit_price,outcome,R,banked_r,is_asian_sweep,has_smt,is_moex,month,year,cal_month,quarter
SOL/USDT,2024-06-17 06:50:00,2024-06-17 07:25:00,LONG,2024-06-17 07:43:00,146.63,146.0501,147.2099,147.5684,2024-06-17 08:22:00,146.7473,BE_STOP,0.298,0.5,True,False,False,2024-06,2024,6,Q2
SOL/USDT,2024-06-17 14:35:00,2024-06-17 14:55:00,SHORT,2024-06-17 15:02:00,143.875,144.8358,142.9142,142.3204,2024-06-17 15:34:00,142.3204,GRID_B_FULL_TP,1.189,1.309,True,False,False,2024-06,2024,6,Q2
SOL/USDT,2024-06-24 14:05:00,2024-06-24 14:15:00,SHORT,2024-06-24 14:36:00,129.115,130.1437,128.0863,127.4506,2024-06-24 15:36:00,127.4506,GRID_B_FULL_TP,1.209,1.309,True,False,False,2024-06,2024,6,Q2
SOL/USDT,2024-06-25 12:50:00,2024-06-25 13:10:00,LONG,2024-06-25 13:31:00,137.055,136.2844,137.8256,138.3018,2024-06-25 14:20:00,138.3018,GRID_B_FULL_TP,1.167,1.309,True,False,False,2024-06,2024,6,Q2
SOL/USDT,2024-06-30 07:10:00,2024-06-30 07:50:00,SHORT,2024-06-30 08:01:00,140.73,141.2111,140.2489,139.9516,2024-06-30 08:06:00,141.2111,INITIAL_STOP,-1.234,0.0,True,False,False,2024-06,2024,6,Q2
SOL/USDT,2024-07-05 16:25:00,2024-07-05 16:55:00,SHORT,2024-07-05 17:17:00,135.0,136.7825,133.2175,132.1159,2024-07-06 00:33:00,136.7825,INITIAL_STOP,-1.061,0.0,True,False,False,2024-07,2024,7,Q3
SOL/USDT,2024-07-08 10:55:00,2024-07-08 11:30:00,LONG,2024-07-08 11:58:00,140.335,137.6095,143.0605,144.7449,2024-07-08 14:28:00,137.6095,INITIAL_STOP,-1.041,0.0,True,False,False,2024-07,2024,7,Q3
SOL/USDT,2024-07-08 14:25:00,2024-07-08 14:45:00,LONG,2024-07-08 15:41:00,137.265,136.5041,138.0259,138.4961,2024-07-08 15:53:00,137.3748,BE_STOP,0.356,0.5,True,False,False,2024-07,2024,7,Q3
SOL/USDT,2024-07-16 06:55:00,2024-07-16 07:10:00,LONG,2024-07-16 07:19:00,155.01,153.4475,156.5725,157.5381,2024-07-16 08:20:00,153.4475,INITIAL_STOP,-1.079,0.0,True,False,False,2024-07,2024,7,Q3
SOL/USDT,2024-07-16 14:00:00,2024-07-16 14:15:00,LONG,2024-07-16 14:22:00,155.42,154.4869,156.3531,156.9298,2024-07-16 15:10:00,156.9298,GRID_B_FULL_TP,1.176,1.309,True,False,False,2024-07,2024,7,Q3
SOL/USDT,2024-08-02 21:40:00,2024-08-02 22:15:00,SHORT,2024-08-02 22:29:00,154.145,154.7712,153.5188,153.1318,2024-08-02 22:33:00,153.1318,GRID_B_FULL_TP,1.112,1.309,True,False,False,2024-08,2024,8,Q3
SOL/USDT,2024-08-03 21:35:00,2024-08-03 22:20:00,SHORT,2024-08-03 22:31:00,142.71,143.5541,141.8659,141.3443,2024-08-03 23:19:00,143.5541,INITIAL_STOP,-1.135,0.0,True,False,False,2024-08,2024,8,Q3
SOL/USDT,2024-08-09 12:50:00,2024-08-09 13:55:00,LONG,2024-08-09 14:28:00,154.595,154.1681,155.0219,155.2857,2024-08-09 14:29:00,154.1681,INITIAL_STOP,-1.29,0.0,True,False,False,2024-08,2024,8,Q3
SOL/USDT,2024-08-17 13:05:00,2024-08-17 13:35:00,SHORT,2024-08-17 13:48:00,140.025,140.92,139.13,138.5768,2024-08-17 14:37:00,140.92,INITIAL_STOP,-1.125,0.0,True,False,False,2024-08,2024,8,Q3
SOL/USDT,2024-08-19 13:15:00,2024-08-19 13:55:00,SHORT,2024-08-19 14:55:00,143.325,144.645,142.005,141.1893,2024-08-19 17:24:00,144.645,INITIAL_STOP,-1.087,0.0,True,False,False,2024-08,2024,8,Q3
SOL/USDT,2024-08-21 14:10:00,2024-08-21 14:50:00,SHORT,2024-08-21 15:45:00,140.685,142.731,138.639,137.3745,2024-08-21 18:26:00,142.731,INITIAL_STOP,-1.055,0.0,True,False,False,2024-08,2024,8,Q3
SOL/USDT,2024-08-24 21:05:00,2024-08-24 21:15:00,LONG,2024-08-24 21:23:00,159.78,159.0203,160.5397,161.0091,2024-08-24 21:36:00,159.0203,INITIAL_STOP,-1.168,0.0,True,False,False,2024-08,2024,8,Q3
SOL/USDT,2024-08-27 14:30:00,2024-08-27 14:50:00,SHORT,2024-08-27 15:38:00,154.745,156.0521,153.4379,152.6301,2024-08-27 16:16:00,154.6212,BE_STOP,0.405,0.5,True,False,False,2024-08,2024,8,Q3
SOL/USDT,2024-08-28 19:00:00,2024-08-28 20:00:00,SHORT,2024-08-28 20:19:00,144.92,145.3574,144.4826,144.2123,2024-08-28 20:21:00,144.8041,BE_STOP,0.235,0.5,True,False,False,2024-08,2024,8,Q3
